id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,TOPO.srcLabel,TOPO.dstLabel,module.src,service,time_in,time_out,time_emit,time_reception
20,COMP_M,Application-20,Application-20-Service,M_Req,59,60,45,11,EndDevice-20,Fog-5,Application-20-EndDevice,0.022074074074074072,104.00000010920094,104.02207418327501,100.0,104.00000010920094
32,COMP_M,Application-32,Application-32-Service,M_Req,95,96,57,17,EndDevice-32,Fog-8,Application-32-EndDevice,0.03244444444444444,104.0000002184019,104.03244466284634,100.0,104.0000002184019
44,COMP_M,Application-44,Application-44-Service,M_Req,131,132,69,23,EndDevice-44,Fog-11,Application-44-EndDevice,0.07274074074074074,104.00000032267944,104.07274106342018,100.0,104.00000032267944
3,COMP_M,Application-3,Application-3-Service,M_Req,8,9,28,3,EndDevice-3,Fog-1,Application-3-EndDevice,0.029185185185185186,104.00000034552399,104.02918553070917,100.0,104.00000034552399
45,COMP_M,Application-45,Application-45-Service,M_Req,134,135,70,25,EndDevice-45,Fog-12,Application-45-EndDevice,0.05896296296296296,104.00000044271185,104.05896340567482,100.0,104.00000044271185
5,COMP_M,Application-5,Application-5-Service,M_Req,14,15,30,5,EndDevice-5,Fog-2,Application-5-EndDevice,0.035777777777777776,104.00000046319317,104.03577824097096,100.0,104.00000046319317
22,COMP_M,Application-22,Application-22-Service,M_Req,65,66,47,13,EndDevice-22,Fog-6,Application-22-EndDevice,0.021555555555555557,104.00000046329166,104.0215560188472,100.0,104.00000046329166
27,COMP_M,Application-27,Application-27-Service,M_Req,80,81,52,15,EndDevice-27,Fog-7,Application-27-EndDevice,0.04192592592592593,104.00000050090641,104.04192642683233,100.0,104.00000050090641
10,COMP_M,Application-10,Application-10-Service,M_Req,29,30,35,7,EndDevice-10,Fog-3,Application-10-EndDevice,0.01785185185185185,104.00000051370723,104.0178523655591,100.0,104.00000051370723
37,COMP_M,Application-37,Application-37-Service,M_Req,110,111,62,21,EndDevice-37,Fog-10,Application-37-EndDevice,0.05555555555555555,104.00000051646434,104.0555560720199,100.0,104.00000051646434
33,COMP_M,Application-33,Application-33-Service,M_Req,98,99,58,19,EndDevice-33,Fog-9,Application-33-EndDevice,0.06977777777777777,104.00000055949482,104.0697783372726,100.0,104.00000055949482
15,COMP_M,Application-15,Application-15-Service,M_Req,44,45,40,9,EndDevice-15,Fog-4,Application-15-EndDevice,0.02666666666666667,104.00000075160578,104.02666741827245,100.0,104.00000075160578
19,COMP_M,Application-19,Application-19-Service,M_Req,56,57,44,11,EndDevice-19,Fog-5,Application-19-EndDevice,0.02288888888888889,106.00000010925069,106.02288899813958,100.0,106.00000010925069
31,COMP_M,Application-31,Application-31-Service,M_Req,92,93,56,17,EndDevice-31,Fog-8,Application-31-EndDevice,0.06814814814814815,106.00000021844407,106.06814836659223,100.0,106.00000021844407
41,COMP_M,Application-41,Application-41-Service,M_Req,122,123,66,23,EndDevice-41,Fog-11,Application-41-EndDevice,0.06844444444444445,106.00000032272426,106.0684447671687,100.0,106.00000032272426
4,COMP_M,Application-4,Application-4-Service,M_Req,11,12,29,3,EndDevice-4,Fog-1,Application-4-EndDevice,0.033185185185185186,106.00000034555225,106.03318553073744,100.0,106.00000034555225
48,COMP_M,Application-48,Application-48-Service,M_Req,143,144,73,25,EndDevice-48,Fog-12,Application-48-EndDevice,0.041777777777777775,106.00000044280978,106.04177822058756,100.0,106.00000044280978
7,COMP_M,Application-7,Application-7-Service,M_Req,20,21,32,5,EndDevice-7,Fog-2,Application-7-EndDevice,0.03614814814814815,106.00000046322432,106.03614861137247,100.0,106.00000046322432
24,COMP_M,Application-24,Application-24-Service,M_Req,71,72,49,13,EndDevice-24,Fog-6,Application-24-EndDevice,0.03637037037037037,106.00000046335896,106.03637083372932,100.0,106.00000046335896
28,COMP_M,Application-28,Application-28-Service,M_Req,83,84,53,15,EndDevice-28,Fog-7,Application-28-EndDevice,0.042222222222222223,106.00000050095858,106.0422227231808,100.0,106.00000050095858
9,COMP_M,Application-9,Application-9-Service,M_Req,26,27,34,7,EndDevice-9,Fog-3,Application-9-EndDevice,0.020296296296296295,106.00000051377955,106.02029681007585,100.0,106.00000051377955
39,COMP_M,Application-39,Application-39-Service,M_Req,116,117,64,21,EndDevice-39,Fog-10,Application-39-EndDevice,0.02962962962962963,106.0000005165051,106.02963014613472,100.0,106.0000005165051
36,COMP_M,Application-36,Application-36-Service,M_Req,107,108,61,19,EndDevice-36,Fog-9,Application-36-EndDevice,0.05896296296296296,106.00000055955252,106.05896352251548,100.0,106.00000055955252
