time,total_nodes,cloud_nodes,proxy_nodes,fog_nodes,end_nodes,other_nodes
0,74,1,1,12,0,60
50,74,1,1,12,0,60
100,74,1,1,12,0,60
150,74,1,1,12,0,60
200,74,1,1,12,0,60
250,74,1,1,12,0,60
300,74,1,1,12,0,60
350,74,1,1,12,0,60
400,74,1,1,12,0,60
450,74,1,1,12,0,60
500,74,1,1,12,0,60
550,74,1,1,12,0,60
600,74,1,1,12,0,60
650,74,1,1,12,0,60
700,74,1,1,12,0,60
750,74,1,1,12,0,60
800,73,1,1,11,0,60
850,73,1,1,11,0,60
900,73,1,1,11,0,60
950,73,1,1,11,0,60
1000,73,1,1,11,0,60
1050,73,1,1,11,0,60
1100,72,1,1,10,0,60
1150,72,1,1,10,0,60
1200,72,1,1,10,0,60
1250,72,1,1,10,0,60
1300,73,1,1,11,0,60
1350,73,1,1,11,0,60
1400,72,1,1,10,0,60
1450,72,1,1,10,0,60
1500,72,1,1,10,0,60
1550,72,1,1,10,0,60
1600,73,1,1,11,0,60
1650,73,1,1,11,0,60
1700,72,1,1,10,0,60
1750,72,1,1,10,0,60
1800,72,1,1,10,0,60
1850,72,1,1,10,0,60
1900,73,1,1,11,0,60
1950,73,1,1,11,0,60
2000,72,1,1,10,0,60
2050,72,1,1,10,0,60
2100,72,1,1,10,0,60
2150,72,1,1,10,0,60
2200,73,1,1,11,0,60
2250,73,1,1,11,0,60
2300,72,1,1,10,0,60
2350,72,1,1,10,0,60
2400,72,1,1,10,0,60
2450,72,1,1,10,0,60
2500,73,1,1,11,0,60
2550,73,1,1,11,0,60
2600,72,1,1,10,0,60
2650,72,1,1,10,0,60
2700,72,1,1,10,0,60
2750,72,1,1,10,0,60
2800,73,1,1,11,0,60
2850,73,1,1,11,0,60
2900,72,1,1,10,0,60
2950,72,1,1,10,0,60
3000,72,1,1,10,0,60
3050,72,1,1,10,0,60
3100,73,1,1,11,0,60
3150,73,1,1,11,0,60
3200,72,1,1,10,0,60
3250,72,1,1,10,0,60
3300,72,1,1,10,0,60
3350,72,1,1,10,0,60
3400,73,1,1,11,0,60
3450,73,1,1,11,0,60
3500,72,1,1,10,0,60
3550,72,1,1,10,0,60
3600,72,1,1,10,0,60
3650,72,1,1,10,0,60
3700,73,1,1,11,0,60
3750,73,1,1,11,0,60
3800,72,1,1,10,0,60
3850,72,1,1,10,0,60
3900,72,1,1,10,0,60
3950,72,1,1,10,0,60
4000,73,1,1,11,0,60
4050,73,1,1,11,0,60
4100,72,1,1,10,0,60
4150,72,1,1,10,0,60
4200,72,1,1,10,0,60
4250,72,1,1,10,0,60
4300,73,1,1,11,0,60
4350,73,1,1,11,0,60
4400,72,1,1,10,0,60
4450,72,1,1,10,0,60
4500,72,1,1,10,0,60
4550,72,1,1,10,0,60
4600,73,1,1,11,0,60
4650,73,1,1,11,0,60
4700,72,1,1,10,0,60
4750,72,1,1,10,0,60
4800,72,1,1,10,0,60
4850,72,1,1,10,0,60
4900,73,1,1,11,0,60
4950,73,1,1,11,0,60
5000,72,1,1,10,0,60
5050,72,1,1,10,0,60
5100,72,1,1,10,0,60
5150,72,1,1,10,0,60
5200,73,1,1,11,0,60
5250,73,1,1,11,0,60
5300,72,1,1,10,0,60
5350,72,1,1,10,0,60
5400,72,1,1,10,0,60
5450,72,1,1,10,0,60
5500,73,1,1,11,0,60
5550,73,1,1,11,0,60
5600,72,1,1,10,0,60
5650,72,1,1,10,0,60
5700,72,1,1,10,0,60
5750,72,1,1,10,0,60
5800,73,1,1,11,0,60
5850,73,1,1,11,0,60
5900,72,1,1,10,0,60
5950,72,1,1,10,0,60
6000,72,1,1,10,0,60
6050,72,1,1,10,0,60
6100,73,1,1,11,0,60
6150,73,1,1,11,0,60
6200,72,1,1,10,0,60
6250,72,1,1,10,0,60
6300,72,1,1,10,0,60
6350,72,1,1,10,0,60
6400,73,1,1,11,0,60
6450,73,1,1,11,0,60
6500,72,1,1,10,0,60
6550,72,1,1,10,0,60
6600,72,1,1,10,0,60
6650,72,1,1,10,0,60
6700,73,1,1,11,0,60
6750,73,1,1,11,0,60
6800,72,1,1,10,0,60
6850,72,1,1,10,0,60
6900,72,1,1,10,0,60
6950,72,1,1,10,0,60
7000,73,1,1,11,0,60
7050,73,1,1,11,0,60
7100,72,1,1,10,0,60
7150,72,1,1,10,0,60
7200,72,1,1,10,0,60
7250,72,1,1,10,0,60
7300,73,1,1,11,0,60
7350,73,1,1,11,0,60
7400,72,1,1,10,0,60
7450,72,1,1,10,0,60
7500,72,1,1,10,0,60
7550,72,1,1,10,0,60
7600,73,1,1,11,0,60
7650,73,1,1,11,0,60
7700,72,1,1,10,0,60
7750,72,1,1,10,0,60
7800,72,1,1,10,0,60
7850,72,1,1,10,0,60
7900,73,1,1,11,0,60
7950,73,1,1,11,0,60
8000,72,1,1,10,0,60
8050,72,1,1,10,0,60
8100,72,1,1,10,0,60
8150,72,1,1,10,0,60
8200,73,1,1,11,0,60
8250,73,1,1,11,0,60
8300,72,1,1,10,0,60
8350,72,1,1,10,0,60
8400,72,1,1,10,0,60
8450,72,1,1,10,0,60
8500,73,1,1,11,0,60
8550,73,1,1,11,0,60
8600,72,1,1,10,0,60
8650,72,1,1,10,0,60
8700,72,1,1,10,0,60
8750,72,1,1,10,0,60
8800,73,1,1,11,0,60
8850,73,1,1,11,0,60
8900,72,1,1,10,0,60
8950,72,1,1,10,0,60
9000,72,1,1,10,0,60
9050,72,1,1,10,0,60
9100,73,1,1,11,0,60
9150,73,1,1,11,0,60
9200,72,1,1,10,0,60
9250,72,1,1,10,0,60
9300,72,1,1,10,0,60
9350,72,1,1,10,0,60
9400,73,1,1,11,0,60
9450,73,1,1,11,0,60
9500,72,1,1,10,0,60
9550,72,1,1,10,0,60
9600,72,1,1,10,0,60
9650,72,1,1,10,0,60
9700,73,1,1,11,0,60
9750,73,1,1,11,0,60
9800,72,1,1,10,0,60
9850,72,1,1,10,0,60
9900,72,1,1,10,0,60
9950,72,1,1,10,0,60
10000,73,1,1,11,0,60
10050,73,1,1,11,0,60
10100,72,1,1,10,0,60
10150,72,1,1,10,0,60
10200,72,1,1,10,0,60
10250,72,1,1,10,0,60
10300,73,1,1,11,0,60
10350,73,1,1,11,0,60
10400,72,1,1,10,0,60
10450,72,1,1,10,0,60
10500,72,1,1,10,0,60
10550,72,1,1,10,0,60
10600,73,1,1,11,0,60
10650,73,1,1,11,0,60
10700,72,1,1,10,0,60
10750,72,1,1,10,0,60
10800,72,1,1,10,0,60
10850,72,1,1,10,0,60
10900,73,1,1,11,0,60
10950,73,1,1,11,0,60
11000,72,1,1,10,0,60
11050,72,1,1,10,0,60
11100,72,1,1,10,0,60
11150,72,1,1,10,0,60
11200,73,1,1,11,0,60
11250,73,1,1,11,0,60
11300,72,1,1,10,0,60
11350,72,1,1,10,0,60
11400,72,1,1,10,0,60
11450,72,1,1,10,0,60
11500,73,1,1,11,0,60
11550,73,1,1,11,0,60
11600,72,1,1,10,0,60
11650,72,1,1,10,0,60
11700,72,1,1,10,0,60
11750,72,1,1,10,0,60
11800,73,1,1,11,0,60
11850,73,1,1,11,0,60
11900,72,1,1,10,0,60
11950,72,1,1,10,0,60
12000,72,1,1,10,0,60
12050,72,1,1,10,0,60
