time,total_nodes,cloud_nodes,proxy_nodes,fog_nodes,end_nodes,other_nodes
0,74,1,1,12,0,60
50,74,1,1,12,0,60
100,74,1,1,12,0,60
150,74,1,1,12,0,60
200,74,1,1,12,0,60
250,74,1,1,12,0,60
300,74,1,1,12,0,60
350,74,1,1,12,0,60
400,74,1,1,12,0,60
450,74,1,1,12,0,60
500,74,1,1,12,0,60
550,74,1,1,12,0,60
600,74,1,1,12,0,60
650,74,1,1,12,0,60
700,74,1,1,12,0,60
750,74,1,1,12,0,60
800,72,1,1,10,0,60
850,72,1,1,10,0,60
900,72,1,1,10,0,60
950,72,1,1,10,0,60
1000,72,1,1,10,0,60
1050,72,1,1,10,0,60
1100,70,1,1,8,0,60
1150,70,1,1,8,0,60
1200,70,1,1,8,0,60
1250,70,1,1,8,0,60
1300,72,1,1,10,0,60
1350,72,1,1,10,0,60
1400,70,1,1,8,0,60
1450,70,1,1,8,0,60
1500,70,1,1,8,0,60
1550,70,1,1,8,0,60
1600,72,1,1,10,0,60
1650,72,1,1,10,0,60
1700,70,1,1,8,0,60
1750,70,1,1,8,0,60
1800,70,1,1,8,0,60
1850,70,1,1,8,0,60
1900,72,1,1,10,0,60
1950,72,1,1,10,0,60
2000,70,1,1,8,0,60
2050,70,1,1,8,0,60
2100,70,1,1,8,0,60
2150,70,1,1,8,0,60
2200,72,1,1,10,0,60
2250,72,1,1,10,0,60
2300,70,1,1,8,0,60
2350,70,1,1,8,0,60
2400,70,1,1,8,0,60
2450,70,1,1,8,0,60
2500,72,1,1,10,0,60
2550,72,1,1,10,0,60
2600,70,1,1,8,0,60
2650,70,1,1,8,0,60
2700,70,1,1,8,0,60
2750,70,1,1,8,0,60
2800,72,1,1,10,0,60
2850,72,1,1,10,0,60
2900,70,1,1,8,0,60
2950,70,1,1,8,0,60
3000,70,1,1,8,0,60
3050,70,1,1,8,0,60
3100,72,1,1,10,0,60
3150,72,1,1,10,0,60
3200,70,1,1,8,0,60
3250,70,1,1,8,0,60
3300,70,1,1,8,0,60
3350,70,1,1,8,0,60
3400,72,1,1,10,0,60
3450,72,1,1,10,0,60
3500,70,1,1,8,0,60
3550,70,1,1,8,0,60
3600,70,1,1,8,0,60
3650,70,1,1,8,0,60
3700,72,1,1,10,0,60
3750,72,1,1,10,0,60
3800,70,1,1,8,0,60
3850,70,1,1,8,0,60
3900,70,1,1,8,0,60
3950,70,1,1,8,0,60
4000,72,1,1,10,0,60
4050,72,1,1,10,0,60
4100,70,1,1,8,0,60
4150,70,1,1,8,0,60
4200,70,1,1,8,0,60
4250,70,1,1,8,0,60
4300,72,1,1,10,0,60
4350,72,1,1,10,0,60
4400,70,1,1,8,0,60
4450,70,1,1,8,0,60
4500,70,1,1,8,0,60
4550,70,1,1,8,0,60
4600,72,1,1,10,0,60
4650,72,1,1,10,0,60
4700,70,1,1,8,0,60
4750,70,1,1,8,0,60
4800,70,1,1,8,0,60
4850,70,1,1,8,0,60
4900,72,1,1,10,0,60
4950,72,1,1,10,0,60
5000,70,1,1,8,0,60
5050,70,1,1,8,0,60
5100,70,1,1,8,0,60
5150,70,1,1,8,0,60
5200,72,1,1,10,0,60
5250,72,1,1,10,0,60
5300,70,1,1,8,0,60
5350,70,1,1,8,0,60
5400,70,1,1,8,0,60
5450,70,1,1,8,0,60
5500,72,1,1,10,0,60
5550,72,1,1,10,0,60
5600,70,1,1,8,0,60
5650,70,1,1,8,0,60
5700,70,1,1,8,0,60
5750,70,1,1,8,0,60
5800,72,1,1,10,0,60
5850,72,1,1,10,0,60
5900,70,1,1,8,0,60
5950,70,1,1,8,0,60
6000,70,1,1,8,0,60
6050,70,1,1,8,0,60
6100,72,1,1,10,0,60
6150,72,1,1,10,0,60
6200,70,1,1,8,0,60
6250,70,1,1,8,0,60
6300,70,1,1,8,0,60
6350,70,1,1,8,0,60
6400,72,1,1,10,0,60
6450,72,1,1,10,0,60
6500,70,1,1,8,0,60
6550,70,1,1,8,0,60
6600,70,1,1,8,0,60
6650,70,1,1,8,0,60
6700,72,1,1,10,0,60
6750,72,1,1,10,0,60
6800,70,1,1,8,0,60
6850,70,1,1,8,0,60
6900,70,1,1,8,0,60
6950,70,1,1,8,0,60
7000,72,1,1,10,0,60
7050,72,1,1,10,0,60
7100,70,1,1,8,0,60
7150,70,1,1,8,0,60
7200,70,1,1,8,0,60
7250,70,1,1,8,0,60
7300,72,1,1,10,0,60
7350,72,1,1,10,0,60
7400,70,1,1,8,0,60
7450,70,1,1,8,0,60
7500,70,1,1,8,0,60
7550,70,1,1,8,0,60
7600,72,1,1,10,0,60
7650,72,1,1,10,0,60
7700,70,1,1,8,0,60
7750,70,1,1,8,0,60
7800,70,1,1,8,0,60
7850,70,1,1,8,0,60
7900,72,1,1,10,0,60
7950,72,1,1,10,0,60
8000,70,1,1,8,0,60
8050,70,1,1,8,0,60
8100,70,1,1,8,0,60
8150,70,1,1,8,0,60
8200,72,1,1,10,0,60
8250,72,1,1,10,0,60
8300,70,1,1,8,0,60
8350,70,1,1,8,0,60
8400,70,1,1,8,0,60
8450,70,1,1,8,0,60
8500,72,1,1,10,0,60
8550,72,1,1,10,0,60
8600,70,1,1,8,0,60
8650,70,1,1,8,0,60
8700,70,1,1,8,0,60
8750,70,1,1,8,0,60
8800,72,1,1,10,0,60
8850,72,1,1,10,0,60
8900,70,1,1,8,0,60
8950,70,1,1,8,0,60
9000,70,1,1,8,0,60
9050,70,1,1,8,0,60
9100,72,1,1,10,0,60
9150,72,1,1,10,0,60
9200,70,1,1,8,0,60
9250,70,1,1,8,0,60
9300,70,1,1,8,0,60
9350,70,1,1,8,0,60
9400,72,1,1,10,0,60
9450,72,1,1,10,0,60
9500,70,1,1,8,0,60
9550,70,1,1,8,0,60
9600,70,1,1,8,0,60
9650,70,1,1,8,0,60
9700,72,1,1,10,0,60
9750,72,1,1,10,0,60
9800,70,1,1,8,0,60
9850,70,1,1,8,0,60
9900,70,1,1,8,0,60
9950,70,1,1,8,0,60
10000,72,1,1,10,0,60
10050,72,1,1,10,0,60
10100,70,1,1,8,0,60
10150,70,1,1,8,0,60
10200,70,1,1,8,0,60
10250,70,1,1,8,0,60
10300,72,1,1,10,0,60
10350,72,1,1,10,0,60
10400,70,1,1,8,0,60
10450,70,1,1,8,0,60
10500,70,1,1,8,0,60
10550,70,1,1,8,0,60
10600,72,1,1,10,0,60
10650,72,1,1,10,0,60
10700,70,1,1,8,0,60
10750,70,1,1,8,0,60
10800,70,1,1,8,0,60
10850,70,1,1,8,0,60
10900,72,1,1,10,0,60
10950,72,1,1,10,0,60
11000,70,1,1,8,0,60
11050,70,1,1,8,0,60
11100,70,1,1,8,0,60
11150,70,1,1,8,0,60
11200,72,1,1,10,0,60
11250,72,1,1,10,0,60
11300,70,1,1,8,0,60
11350,70,1,1,8,0,60
11400,70,1,1,8,0,60
11450,70,1,1,8,0,60
11500,72,1,1,10,0,60
11550,72,1,1,10,0,60
11600,70,1,1,8,0,60
11650,70,1,1,8,0,60
11700,70,1,1,8,0,60
11750,70,1,1,8,0,60
11800,72,1,1,10,0,60
11850,72,1,1,10,0,60
11900,70,1,1,8,0,60
11950,70,1,1,8,0,60
12000,70,1,1,8,0,60
12050,70,1,1,8,0,60
