id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,TOPO.srcLabel,TOPO.dstLabel,module.src,service,time_in,time_out,time_emit,time_reception
23,COMP_M,Application-23,Application-23-Service,M_Req,68,69,48,13,EndDevice-23,Fog-6,Application-23-EndDevice,0.0357037037037037,104.00000005583132,104.03570375953502,100.0,104.00000005583132
30,COMP_M,Application-30,Application-30-Service,M_Req,89,90,55,17,EndDevice-30,Fog-8,Application-30-EndDevice,0.048,104.00000011934314,104.04800011934314,100.0,104.00000011934314
6,COMP_M,Application-6,Application-6-Service,M_Req,17,18,31,5,EndDevice-6,Fog-2,Application-6-EndDevice,0.027925925925925927,104.00000015587474,104.02792608180067,100.0,104.00000015587474
41,COMP_M,Application-41,Application-41-Service,M_Req,122,123,66,23,EndDevice-41,Fog-11,Application-41-EndDevice,0.04533333333333334,104.00000022027277,104.0453335536061,100.0,104.00000022027277
9,COMP_M,Application-9,Application-9-Service,M_Req,26,27,34,7,EndDevice-9,Fog-3,Application-9-EndDevice,0.02762962962962963,104.00000026251553,104.02762989214516,100.0,104.00000026251553
15,COMP_M,Application-15,Application-15-Service,M_Req,44,45,40,9,EndDevice-15,Fog-4,Application-15-EndDevice,0.028148148148148148,104.00000029018501,104.02814843833316,100.0,104.00000029018501
20,COMP_M,Application-20,Application-20-Service,M_Req,59,60,45,11,EndDevice-20,Fog-5,Application-20-EndDevice,0.0357037037037037,104.00000045206632,104.03570415577002,100.0,104.00000045206632
36,COMP_M,Application-36,Application-36-Service,M_Req,107,108,61,19,EndDevice-36,Fog-9,Application-36-EndDevice,0.060444444444444446,104.00000069341122,104.06044513785567,100.0,104.00000069341122
47,COMP_M,Application-47,Application-47-Service,M_Req,140,141,72,25,EndDevice-47,Fog-12,Application-47-EndDevice,0.06918518518518518,104.00000072551177,104.06918591069696,100.0,104.00000072551177
28,COMP_M,Application-28,Application-28-Service,M_Req,83,84,53,15,EndDevice-28,Fog-7,Application-28-EndDevice,0.03540740740740741,104.00000075790771,104.03540816531512,100.0,104.00000075790771
38,COMP_M,Application-38,Application-38-Service,M_Req,113,114,63,21,EndDevice-38,Fog-10,Application-38-EndDevice,0.047407407407407405,104.00000093623316,104.04740834364057,100.0,104.00000093623316
1,COMP_M,Application-1,Application-1-Service,M_Req,2,3,26,3,EndDevice-1,Fog-1,Application-1-EndDevice,0.03585185185185185,104.00000141665822,104.03585326851007,100.0,104.00000141665822
21,COMP_M,Application-21,Application-21-Service,M_Req,62,63,46,13,EndDevice-21,Fog-6,Application-21-EndDevice,0.019185185185185184,106.00000005585237,106.01918524103755,100.0,106.00000005585237
32,COMP_M,Application-32,Application-32-Service,M_Req,95,96,57,17,EndDevice-32,Fog-8,Application-32-EndDevice,0.07274074074074074,106.00000011938161,106.07274086012235,100.0,106.00000011938161
7,COMP_M,Application-7,Application-7-Service,M_Req,20,21,32,5,EndDevice-7,Fog-2,Application-7-EndDevice,0.018518518518518517,106.00000015590297,106.01851867442149,100.0,106.00000015590297
43,COMP_M,Application-43,Application-43-Service,M_Req,128,129,68,23,EndDevice-43,Fog-11,Application-43-EndDevice,0.032296296296296295,106.0000002202903,106.0322965165866,100.0,106.0000002202903
11,COMP_M,Application-11,Application-11-Service,M_Req,32,33,36,7,EndDevice-11,Fog-3,Application-11-EndDevice,0.01651851851851852,106.00000026259781,106.01651878111633,100.0,106.00000026259781
13,COMP_M,Application-13,Application-13-Service,M_Req,38,39,38,9,EndDevice-13,Fog-4,Application-13-EndDevice,0.03688888888888889,106.00000029026234,106.03688917915122,100.0,106.00000029026234
19,COMP_M,Application-19,Application-19-Service,M_Req,56,57,44,11,EndDevice-19,Fog-5,Application-19-EndDevice,0.018444444444444444,106.00000045209721,106.01844489654165,100.0,106.00000045209721
35,COMP_M,Application-35,Application-35-Service,M_Req,104,105,60,19,EndDevice-35,Fog-9,Application-35-EndDevice,0.037333333333333336,106.00000069346382,106.03733402679715,100.0,106.00000069346382
48,COMP_M,Application-48,Application-48-Service,M_Req,143,144,73,25,EndDevice-48,Fog-12,Application-48-EndDevice,0.03659259259259259,106.00000072556125,106.03659331815385,100.0,106.00000072556125
26,COMP_M,Application-26,Application-26-Service,M_Req,77,78,51,15,EndDevice-26,Fog-7,Application-26-EndDevice,0.06459259259259259,106.00000075799886,106.06459335059145,100.0,106.00000075799886
40,COMP_M,Application-40,Application-40-Service,M_Req,119,120,65,21,EndDevice-40,Fog-10,Application-40-EndDevice,0.04518518518518518,106.00000093630452,106.0451861214897,100.0,106.00000093630452
4,COMP_M,Application-4,Application-4-Service,M_Req,11,12,29,3,EndDevice-4,Fog-1,Application-4-EndDevice,0.01837037037037037,106.00000141676243,106.0183717871328,100.0,106.00000141676243
22,COMP_M,Application-22,Application-22-Service,M_Req,65,66,47,13,EndDevice-22,Fog-6,Application-22-EndDevice,0.03666666666666667,108.00000005592103,108.0366667225877,100.0,108.00000005592103
