id,type,src,dst,srcLabel,dstLabel,app,latency,wait,message,ctime,size,buffer
1,LINK,2,26,Gateway-1,EndDevice-1,Application-1,2.000000523913846,0.0,M_Req,100,5321,0
2,LINK,2,27,Gateway-1,EndDevice-2,Application-2,2.0000005243076924,0.0,M_Req,100,5325,1
3,LINK,2,28,Gateway-1,EndDevice-3,Application-3,2.0000009137230768,0.0,M_Req,100,9280,2
4,LINK,2,29,Gateway-1,EndDevice-4,Application-4,2.0000012466215384,0.0,M_Req,100,12661,3
5,LINK,4,30,Gateway-2,EndDevice-5,Application-5,2.000000994756923,0.0,M_Req,100,10103,4
6,LINK,4,31,Gateway-2,EndDevice-6,Application-6,2.0000012470153847,0.0,M_Req,100,12665,5
7,LINK,4,32,Gateway-2,EndDevice-7,Application-7,2.000001754683077,0.0,M_Req,100,17821,6
8,LINK,4,33,Gateway-2,EndDevice-8,Application-8,2.0000004604061536,0.0,M_Req,100,4676,7
9,LINK,6,34,Gateway-3,EndDevice-9,Application-9,2.0000012248615384,0.0,M_Req,100,12440,8
10,LINK,6,35,Gateway-3,EndDevice-10,Application-10,2.0000018926276923,0.0,M_Req,100,19222,9
11,LINK,6,36,Gateway-3,EndDevice-11,Application-11,2.0000015778461537,0.0,M_Req,100,16025,10
12,LINK,6,37,Gateway-3,EndDevice-12,Application-12,2.0000009432615387,0.0,M_Req,100,9580,11
13,LINK,8,38,Gateway-4,EndDevice-13,Application-13,2.0000004965415386,0.0,M_Req,100,5043,12
14,LINK,8,39,Gateway-4,EndDevice-14,Application-14,2.000001466387692,0.0,M_Req,100,14893,13
15,LINK,8,40,Gateway-4,EndDevice-15,Application-15,2.0000006155815386,0.0,M_Req,100,6252,14
16,LINK,8,41,Gateway-4,EndDevice-16,Application-16,2.0000008433230767,0.0,M_Req,100,8565,15
17,LINK,10,42,Gateway-5,EndDevice-17,Application-17,2.0000011348676923,0.0,M_Req,100,11526,16
18,LINK,10,43,Gateway-5,EndDevice-18,Application-18,2.0000016142769232,0.0,M_Req,100,16395,17
19,LINK,10,44,Gateway-5,EndDevice-19,Application-19,2.0000004690707693,0.0,M_Req,100,4764,18
20,LINK,10,45,Gateway-5,EndDevice-20,Application-20,2.000000370510769,0.0,M_Req,100,3763,19
21,LINK,12,46,Gateway-6,EndDevice-21,Application-21,2.0000016792615383,0.0,M_Req,100,17055,20
22,LINK,12,47,Gateway-6,EndDevice-22,Application-22,2.000001763643077,0.0,M_Req,100,17912,21
23,LINK,12,48,Gateway-6,EndDevice-23,Application-23,2.0000004516430767,0.0,M_Req,100,4587,22
24,LINK,12,49,Gateway-6,EndDevice-24,Application-24,2.0000008489353847,0.0,M_Req,100,8622,23
25,LINK,14,50,Gateway-7,EndDevice-25,Application-25,2.0000016293415386,0.0,M_Req,100,16548,24
26,LINK,14,51,Gateway-7,EndDevice-26,Application-26,2.0000012240738463,0.0,M_Req,100,12432,25
27,LINK,14,52,Gateway-7,EndDevice-27,Application-27,2.00000083456,0.0,M_Req,100,8476,26
28,LINK,14,53,Gateway-7,EndDevice-28,Application-28,2.000000475273846,0.0,M_Req,100,4827,27
29,LINK,16,54,Gateway-8,EndDevice-29,Application-29,2.000000593526154,0.0,M_Req,100,6028,28
30,LINK,16,55,Gateway-8,EndDevice-30,Application-30,2.000000749193846,0.0,M_Req,100,7609,29
31,LINK,16,56,Gateway-8,EndDevice-31,Application-31,2.0000012687753848,0.0,M_Req,100,12886,30
32,LINK,16,57,Gateway-8,EndDevice-32,Application-32,2.000001641353846,0.0,M_Req,100,16670,31
33,LINK,18,58,Gateway-9,EndDevice-33,Application-33,2.000000539175385,0.0,M_Req,100,5476,32
34,LINK,18,59,Gateway-9,EndDevice-34,Application-34,2.0000000807384617,0.0,M_Req,100,820,33
35,LINK,18,60,Gateway-9,EndDevice-35,Application-35,2.0000002991261536,0.0,M_Req,100,3038,34
36,LINK,18,61,Gateway-9,EndDevice-36,Application-36,2.00000172032,0.0,M_Req,100,17472,35
37,LINK,20,62,Gateway-10,EndDevice-37,Application-37,2.0000001349907692,0.0,M_Req,100,1371,36
38,LINK,20,63,Gateway-10,EndDevice-38,Application-38,2.0000017679753848,0.0,M_Req,100,17956,37
39,LINK,20,64,Gateway-10,EndDevice-39,Application-39,2.0000007567753846,0.0,M_Req,100,7686,38
40,LINK,20,65,Gateway-10,EndDevice-40,Application-40,2.0000007721353845,0.0,M_Req,100,7842,39
41,LINK,22,66,Gateway-11,EndDevice-41,Application-41,2.000001679163077,0.0,M_Req,100,17054,40
42,LINK,22,67,Gateway-11,EndDevice-42,Application-42,2.000000130067692,0.0,M_Req,100,1321,41
43,LINK,22,68,Gateway-11,EndDevice-43,Application-43,2.00000106368,0.0,M_Req,100,10803,42
44,LINK,22,69,Gateway-11,EndDevice-44,Application-44,2.0000002264615384,0.0,M_Req,100,2300,43
45,LINK,24,70,Gateway-12,EndDevice-45,Application-45,2.0000011537723075,0.0,M_Req,100,11718,44
46,LINK,24,71,Gateway-12,EndDevice-46,Application-46,2.000001607483077,0.0,M_Req,100,16326,45
47,LINK,24,72,Gateway-12,EndDevice-47,Application-47,2.00000180096,0.0,M_Req,100,18291,46
48,LINK,24,73,Gateway-12,EndDevice-48,Application-48,2.000000188356923,0.0,M_Req,100,1913,47
34,LINK,18,19,Gateway-9,Fog-9,Application-34,2.000000000005248,0.0,M_Req,102.00000008073846,820,47
42,LINK,22,23,Gateway-11,Fog-11,Application-42,2.0000000000084546,0.0,M_Req,102.00000013006769,1321,47
37,LINK,20,21,Gateway-10,Fog-10,Application-37,2.0000000000087743,0.0,M_Req,102.00000013499077,1371,47
48,LINK,24,25,Gateway-12,Fog-12,Application-48,2.000000000012243,0.0,M_Req,102.00000018835692,1913,47
44,LINK,22,23,Gateway-11,Fog-11,Application-44,2.00000000001472,1.9999999036146079,M_Req,102.00000022646154,2300,47
35,LINK,18,19,Gateway-9,Fog-9,Application-35,2.000000000019443,1.9999997816175465,M_Req,102.00000029912616,3038,47
20,LINK,10,11,Gateway-5,Fog-5,Application-20,2.0000000000240834,0.0,M_Req,102.00000037051078,3763,47
23,LINK,12,13,Gateway-6,Fog-6,Application-23,2.000000000029357,0.0,M_Req,102.00000045164307,4587,47
8,LINK,4,5,Gateway-2,Fog-2,Application-8,2.0000000000299263,0.0,M_Req,102.00000046040616,4676,47
19,LINK,10,11,Gateway-5,Fog-5,Application-19,2.0000000000304894,1.9999999014640935,M_Req,102.00000046907077,4764,47
28,LINK,14,15,Gateway-7,Fog-7,Application-28,2.0000000000308926,0.0,M_Req,102.00000047527385,4827,47
13,LINK,8,9,Gateway-4,Fog-4,Application-13,2.000000000032275,0.0,M_Req,102.00000049654153,5043,47
1,LINK,2,3,Gateway-1,Fog-1,Application-1,2.0000000000340545,0.0,M_Req,102.00000052391384,5321,47
2,LINK,2,3,Gateway-1,Fog-1,Application-2,2.00000000003408,1.9999999996401954,M_Req,102.0000005243077,5325,47
33,LINK,18,19,Gateway-9,Fog-9,Application-33,2.000000000035046,3.999999541587755,M_Req,102.00000053917539,5476,47
29,LINK,16,17,Gateway-8,Fog-8,Application-29,2.0000000000385794,0.0,M_Req,102.00000059352615,6028,47
15,LINK,8,9,Gateway-4,Fog-4,Application-15,2.000000000040013,1.999999880992263,M_Req,102.00000061558154,6252,47
30,LINK,16,17,Gateway-8,Fog-8,Application-30,2.0000000000486975,1.9999998443708904,M_Req,102.00000074919384,7609,47
39,LINK,20,21,Gateway-10,Fog-10,Application-39,2.0000000000491904,1.9999993782241603,M_Req,102.00000075677538,7686,47
40,LINK,20,21,Gateway-10,Fog-10,Application-40,2.0000000000501887,3.999999362913343,M_Req,102.00000077213538,7842,47
27,LINK,14,15,Gateway-7,Fog-7,Application-27,2.0000000000542464,1.999999640744747,M_Req,102.00000083456,8476,47
16,LINK,8,9,Gateway-4,Fog-4,Application-16,2.000000000054816,3.999999653290743,M_Req,102.00000084332308,8565,47
24,LINK,12,13,Gateway-6,Fog-6,Application-24,2.0000000000551807,1.9999996027370486,M_Req,102.00000084893539,8622,47
3,LINK,2,3,Gateway-1,Fog-1,Application-3,2.000000000059392,3.9999996102588966,M_Req,102.00000091372307,9280,47
12,LINK,6,7,Gateway-3,Fog-3,Application-12,2.000000000061312,0.0,M_Req,102.00000094326154,9580,47
5,LINK,4,5,Gateway-2,Fog-2,Application-5,2.0000000000646594,1.999999465679167,M_Req,102.00000099475692,10103,47
43,LINK,22,23,Gateway-11,Fog-11,Application-43,2.0000000000691394,3.999999066410865,M_Req,102.00000106368,10803,47
17,LINK,10,11,Gateway-5,Fog-5,Application-17,2.0000000000737663,3.9999992356976577,M_Req,102.00000113486769,11526,47
45,LINK,24,25,Gateway-12,Fog-12,Application-45,2.000000000074995,1.9999990345968683,M_Req,102.0000011537723,11718,47
26,LINK,14,15,Gateway-7,Fog-7,Application-26,2.000000000079565,3.9999992512851463,M_Req,102.00000122407384,12432,47
9,LINK,6,7,Gateway-3,Fog-3,Application-9,2.000000000079616,1.9999997184613107,M_Req,102.00000122486153,12440,47
4,LINK,2,3,Gateway-1,Fog-1,Application-4,2.0000000000810303,5.999999277419818,M_Req,102.00000124662154,12661,47
6,LINK,4,5,Gateway-2,Fog-2,Application-6,2.000000000081056,3.999999213485353,M_Req,102.00000124701539,12665,47
31,LINK,16,17,Gateway-8,Fog-8,Application-31,2.0000000000824705,3.9999993248380576,M_Req,102.00000126877538,12886,47
14,LINK,8,9,Gateway-4,Fog-4,Application-14,2.0000000000953153,5.9999990302809465,M_Req,102.00000146638769,14893,47
11,LINK,6,7,Gateway-3,Fog-3,Application-11,2.00000000010256,3.999999365556306,M_Req,102.00000157784615,16025,47
46,LINK,24,25,Gateway-12,Fog-12,Application-46,2.000000000104486,3.9999985809610905,M_Req,102.00000160748307,16326,47
18,LINK,10,11,Gateway-5,Fog-5,Application-18,2.000000000104928,5.999998756362189,M_Req,102.00000161427693,16395,47
25,LINK,14,15,Gateway-7,Fog-7,Application-25,2.0000000001059073,5.999998846097014,M_Req,102.00000162934154,16548,47
32,LINK,16,17,Gateway-8,Fog-8,Application-32,2.000000000106688,5.999998952342054,M_Req,102.00000164135385,16670,47
41,LINK,22,23,Gateway-11,Fog-11,Application-41,2.0000000001091456,5.999998450996927,M_Req,102.00000167916308,17054,47
21,LINK,12,13,Gateway-6,Fog-6,Application-21,2.000000000109152,3.9999987724660713,M_Req,102.00000167926154,17055,47
36,LINK,18,19,Gateway-9,Fog-9,Application-36,2.0000000001118208,5.9999983604781875,M_Req,102.00000172032,17472,47
7,LINK,4,5,Gateway-2,Fog-2,Application-7,2.0000000001140545,5.999998705898719,M_Req,102.00000175468308,17821,47
22,LINK,12,13,Gateway-6,Fog-6,Application-22,2.0000000001146367,5.999998688193699,M_Req,102.00000176364307,17912,47
38,LINK,20,21,Gateway-10,Fog-10,Application-38,2.0000000001149183,5.999998367123524,M_Req,102.00000176797539,17956,47
47,LINK,24,25,Gateway-12,Fog-12,Application-47,2.0000000001170624,5.999998387588647,M_Req,102.00000180096,18291,47
