id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,TOPO.srcLabel,TOPO.dstLabel,module.src,service,time_in,time_out,time_emit,time_reception
31,COMP_M,Application-31,Application-31-Service,M_Req,92,93,56,17,EndDevice-31,Fog-8,Application-31-EndDevice,0.04814814814814815,104.00000018364271,104.04814833179086,100.0,104.00000018364271
47,COMP_M,Application-47,Application-47-Service,M_Req,140,141,72,25,EndDevice-47,Fog-12,Application-47-EndDevice,0.041777777777777775,104.00000154378034,104.04177932155812,100.0,104.00000154378034
15,COMP_M,Application-15,Application-15-Service,M_Req,44,45,40,9,EndDevice-15,Fog-4,Application-15-EndDevice,0.030222222222222223,104.00000196413997,104.03022418636219,100.0,104.00000196413997
15,COMP_M,Application-15,Application-15-EndDevice,M_Resp,45,44,9,40,Fog-4,EndDevice-15,Application-15-Service,3.7586206896551722e-06,108.03022523987066,108.03022899849135,104.03022418636219,108.03022523987066
47,COMP_M,Application-47,Application-47-EndDevice,M_Resp,141,140,25,72,Fog-12,EndDevice-47,Application-47-Service,4.44927536231884e-06,108.04178043631366,108.04178488558902,104.04177932155812,108.04178043631366
31,COMP_M,Application-31,Application-31-EndDevice,M_Resp,93,92,17,56,Fog-8,EndDevice-31,Application-31-Service,7.944444444444444e-06,108.0481488260999,108.04815677054435,104.04814833179086,108.0481488260999
7,COMP_M,Application-7,Application-7-Service,M_Req,20,21,32,17,EndDevice-7,Fog-8,Application-7-EndDevice,0.037037037037037035,112.00000014357879,112.03703718061583,100.0,112.00000014357879
3,COMP_M,Application-3,Application-3-Service,M_Req,8,9,28,9,EndDevice-3,Fog-4,Application-3-EndDevice,0.030740740740740742,112.00000032773322,112.03074106847396,100.0,112.00000032773322
23,COMP_M,Application-23,Application-23-Service,M_Req,68,69,48,25,EndDevice-23,Fog-12,Application-23-EndDevice,0.04059259259259259,112.00000116717587,112.04059375976846,100.0,112.00000116717587
43,COMP_M,Application-43,Application-43-Service,M_Req,128,129,68,17,EndDevice-43,Fog-8,Application-43-EndDevice,0.06696296296296296,114.00000014362992,114.06696310659288,100.0,114.00000014362992
