id,type,src,dst,srcLabel,dstLabel,app,latency,wait,message,ctime,size,buffer
1,LINK,2,26,Gateway-1,EndDevice-1,Application-1,2.0000013882092307,0.0,M_Req,100,14099,0
2,LINK,2,27,Gateway-1,EndDevice-2,Application-2,2.00000181504,0.0,M_Req,100,18434,1
3,LINK,2,28,Gateway-1,EndDevice-3,Application-3,2.000000675150769,0.0,M_Req,100,6857,2
4,LINK,2,29,Gateway-1,EndDevice-4,Application-4,2.0000005525661537,0.0,M_Req,100,5612,3
5,LINK,4,30,Gateway-2,EndDevice-5,Application-5,2.000000361846154,0.0,M_Req,100,3675,4
6,LINK,4,31,Gateway-2,EndDevice-6,Application-6,2.0000017836307693,0.0,M_Req,100,18115,5
7,LINK,4,32,Gateway-2,EndDevice-7,Application-7,2.000001220036923,0.0,M_Req,100,12391,6
8,LINK,4,33,Gateway-2,EndDevice-8,Application-8,2.0000012102892306,0.0,M_Req,100,12292,7
9,LINK,6,34,Gateway-3,EndDevice-9,Application-9,2.0000019074953848,0.0,M_Req,100,19373,8
10,LINK,6,35,Gateway-3,EndDevice-10,Application-10,2.0000018859323077,0.0,M_Req,100,19154,9
11,LINK,6,36,Gateway-3,EndDevice-11,Application-11,2.0000011347692306,0.0,M_Req,100,11525,10
12,LINK,6,37,Gateway-3,EndDevice-12,Application-12,2.0000009910153844,0.0,M_Req,100,10065,11
13,LINK,8,38,Gateway-4,EndDevice-13,Application-13,2.000000649649231,0.0,M_Req,100,6598,12
14,LINK,8,39,Gateway-4,EndDevice-14,Application-14,2.0000017391261538,0.0,M_Req,100,17663,13
15,LINK,8,40,Gateway-4,EndDevice-15,Application-15,2.000001943926154,0.0,M_Req,100,19743,14
16,LINK,8,41,Gateway-4,EndDevice-16,Application-16,2.0000015414153847,0.0,M_Req,100,15655,15
17,LINK,10,42,Gateway-5,EndDevice-17,Application-17,2.0000013601476923,0.0,M_Req,100,13814,16
18,LINK,10,43,Gateway-5,EndDevice-18,Application-18,2.00000168704,0.0,M_Req,100,17134,17
19,LINK,10,44,Gateway-5,EndDevice-19,Application-19,2.0000006036676923,0.0,M_Req,100,6131,18
20,LINK,10,45,Gateway-5,EndDevice-20,Application-20,2.000000305723077,0.0,M_Req,100,3105,19
21,LINK,12,46,Gateway-6,EndDevice-21,Application-21,2.0000005592615384,0.0,M_Req,100,5680,20
22,LINK,12,47,Gateway-6,EndDevice-22,Application-22,2.000000946313846,0.0,M_Req,100,9611,21
23,LINK,12,48,Gateway-6,EndDevice-23,Application-23,2.000001349513846,0.0,M_Req,100,13706,22
24,LINK,12,49,Gateway-6,EndDevice-24,Application-24,2.0000010230153844,0.0,M_Req,100,10390,23
25,LINK,14,50,Gateway-7,EndDevice-25,Application-25,2.0000010655507694,0.0,M_Req,100,10822,24
26,LINK,14,51,Gateway-7,EndDevice-26,Application-26,2.000001649329231,0.0,M_Req,100,16751,25
27,LINK,14,52,Gateway-7,EndDevice-27,Application-27,2.0000018674215383,0.0,M_Req,100,18966,26
28,LINK,14,53,Gateway-7,EndDevice-28,Application-28,2.000000067446154,0.0,M_Req,100,685,27
29,LINK,16,54,Gateway-8,EndDevice-29,Application-29,2.0000018454646153,0.0,M_Req,100,18743,28
30,LINK,16,55,Gateway-8,EndDevice-30,Application-30,2.0000004711384616,0.0,M_Req,100,4785,29
31,LINK,16,56,Gateway-8,EndDevice-31,Application-31,2.000001222793846,0.0,M_Req,100,12419,30
32,LINK,16,57,Gateway-8,EndDevice-32,Application-32,2.0000008608492306,0.0,M_Req,100,8743,31
33,LINK,18,58,Gateway-9,EndDevice-33,Application-33,2.00000048896,0.0,M_Req,100,4966,32
34,LINK,18,59,Gateway-9,EndDevice-34,Application-34,2.0000018831753845,0.0,M_Req,100,19126,33
35,LINK,18,60,Gateway-9,EndDevice-35,Application-35,2.000001727113846,0.0,M_Req,100,17541,34
36,LINK,18,61,Gateway-9,EndDevice-36,Application-36,2.0000007898584617,0.0,M_Req,100,8022,35
37,LINK,20,62,Gateway-10,EndDevice-37,Application-37,2.0000008192984615,0.0,M_Req,100,8321,36
38,LINK,20,63,Gateway-10,EndDevice-38,Application-38,2.000000317636923,0.0,M_Req,100,3226,37
39,LINK,20,64,Gateway-10,EndDevice-39,Application-39,2.000001910449231,0.0,M_Req,100,19403,38
40,LINK,20,65,Gateway-10,EndDevice-40,Application-40,2.0000011130092306,0.0,M_Req,100,11304,39
41,LINK,22,66,Gateway-11,EndDevice-41,Application-41,2.0000007679015384,0.0,M_Req,100,7799,40
42,LINK,22,67,Gateway-11,EndDevice-42,Application-42,2.000000895113846,0.0,M_Req,100,9091,41
43,LINK,22,68,Gateway-11,EndDevice-43,Application-43,2.0000015527384614,0.0,M_Req,100,15770,42
44,LINK,22,69,Gateway-11,EndDevice-44,Application-44,2.000000313403077,0.0,M_Req,100,3183,43
45,LINK,24,70,Gateway-12,EndDevice-45,Application-45,2.0000005060923076,0.0,M_Req,100,5140,44
