time,total_nodes,cloud_nodes,proxy_nodes,fog_nodes,end_nodes,other_nodes
0,74,1,1,12,0,60
50,74,1,1,12,0,60
100,74,1,1,12,0,60
150,74,1,1,12,0,60
200,74,1,1,12,0,60
250,74,1,1,12,0,60
300,74,1,1,12,0,60
350,74,1,1,12,0,60
400,74,1,1,12,0,60
450,74,1,1,12,0,60
500,74,1,1,12,0,60
550,74,1,1,12,0,60
600,74,1,1,12,0,60
650,74,1,1,12,0,60
700,74,1,1,12,0,60
750,74,1,1,12,0,60
800,71,1,1,9,0,60
850,71,1,1,9,0,60
900,71,1,1,9,0,60
950,71,1,1,9,0,60
1000,71,1,1,9,0,60
1050,71,1,1,9,0,60
1100,68,1,1,6,0,60
1150,68,1,1,6,0,60
1200,68,1,1,6,0,60
1250,68,1,1,6,0,60
1300,71,1,1,9,0,60
1350,71,1,1,9,0,60
1400,68,1,1,6,0,60
1450,68,1,1,6,0,60
1500,68,1,1,6,0,60
1550,68,1,1,6,0,60
1600,71,1,1,9,0,60
1650,71,1,1,9,0,60
1700,68,1,1,6,0,60
1750,68,1,1,6,0,60
1800,68,1,1,6,0,60
1850,68,1,1,6,0,60
1900,71,1,1,9,0,60
1950,71,1,1,9,0,60
2000,68,1,1,6,0,60
2050,68,1,1,6,0,60
2100,68,1,1,6,0,60
2150,68,1,1,6,0,60
2200,71,1,1,9,0,60
2250,71,1,1,9,0,60
2300,68,1,1,6,0,60
2350,68,1,1,6,0,60
2400,68,1,1,6,0,60
2450,68,1,1,6,0,60
2500,71,1,1,9,0,60
2550,71,1,1,9,0,60
2600,68,1,1,6,0,60
2650,68,1,1,6,0,60
2700,68,1,1,6,0,60
2750,68,1,1,6,0,60
2800,71,1,1,9,0,60
2850,71,1,1,9,0,60
2900,68,1,1,6,0,60
2950,68,1,1,6,0,60
3000,68,1,1,6,0,60
3050,68,1,1,6,0,60
3100,71,1,1,9,0,60
3150,71,1,1,9,0,60
3200,68,1,1,6,0,60
3250,68,1,1,6,0,60
3300,68,1,1,6,0,60
3350,68,1,1,6,0,60
3400,71,1,1,9,0,60
3450,71,1,1,9,0,60
3500,68,1,1,6,0,60
3550,68,1,1,6,0,60
3600,68,1,1,6,0,60
3650,68,1,1,6,0,60
3700,71,1,1,9,0,60
3750,71,1,1,9,0,60
3800,68,1,1,6,0,60
3850,68,1,1,6,0,60
3900,68,1,1,6,0,60
3950,68,1,1,6,0,60
4000,71,1,1,9,0,60
4050,71,1,1,9,0,60
4100,68,1,1,6,0,60
4150,68,1,1,6,0,60
4200,68,1,1,6,0,60
4250,68,1,1,6,0,60
4300,71,1,1,9,0,60
4350,71,1,1,9,0,60
4400,68,1,1,6,0,60
4450,68,1,1,6,0,60
4500,68,1,1,6,0,60
4550,68,1,1,6,0,60
4600,71,1,1,9,0,60
4650,71,1,1,9,0,60
4700,68,1,1,6,0,60
4750,68,1,1,6,0,60
4800,68,1,1,6,0,60
4850,68,1,1,6,0,60
4900,71,1,1,9,0,60
4950,71,1,1,9,0,60
5000,68,1,1,6,0,60
5050,68,1,1,6,0,60
5100,68,1,1,6,0,60
5150,68,1,1,6,0,60
5200,71,1,1,9,0,60
5250,71,1,1,9,0,60
5300,68,1,1,6,0,60
5350,68,1,1,6,0,60
5400,68,1,1,6,0,60
5450,68,1,1,6,0,60
5500,71,1,1,9,0,60
5550,71,1,1,9,0,60
5600,68,1,1,6,0,60
5650,68,1,1,6,0,60
5700,68,1,1,6,0,60
5750,68,1,1,6,0,60
5800,71,1,1,9,0,60
5850,71,1,1,9,0,60
5900,68,1,1,6,0,60
5950,68,1,1,6,0,60
6000,68,1,1,6,0,60
6050,68,1,1,6,0,60
6100,71,1,1,9,0,60
6150,71,1,1,9,0,60
6200,68,1,1,6,0,60
6250,68,1,1,6,0,60
6300,68,1,1,6,0,60
6350,68,1,1,6,0,60
6400,71,1,1,9,0,60
6450,71,1,1,9,0,60
6500,68,1,1,6,0,60
6550,68,1,1,6,0,60
6600,68,1,1,6,0,60
6650,68,1,1,6,0,60
6700,71,1,1,9,0,60
6750,71,1,1,9,0,60
6800,68,1,1,6,0,60
6850,68,1,1,6,0,60
6900,68,1,1,6,0,60
6950,68,1,1,6,0,60
7000,71,1,1,9,0,60
7050,71,1,1,9,0,60
7100,68,1,1,6,0,60
7150,68,1,1,6,0,60
7200,68,1,1,6,0,60
7250,68,1,1,6,0,60
7300,71,1,1,9,0,60
7350,71,1,1,9,0,60
7400,68,1,1,6,0,60
7450,68,1,1,6,0,60
7500,68,1,1,6,0,60
7550,68,1,1,6,0,60
7600,71,1,1,9,0,60
7650,71,1,1,9,0,60
7700,68,1,1,6,0,60
7750,68,1,1,6,0,60
7800,68,1,1,6,0,60
7850,68,1,1,6,0,60
7900,71,1,1,9,0,60
7950,71,1,1,9,0,60
8000,68,1,1,6,0,60
8050,68,1,1,6,0,60
8100,68,1,1,6,0,60
8150,68,1,1,6,0,60
8200,71,1,1,9,0,60
8250,71,1,1,9,0,60
8300,68,1,1,6,0,60
8350,68,1,1,6,0,60
8400,68,1,1,6,0,60
8450,68,1,1,6,0,60
8500,71,1,1,9,0,60
8550,71,1,1,9,0,60
8600,68,1,1,6,0,60
8650,68,1,1,6,0,60
8700,68,1,1,6,0,60
8750,68,1,1,6,0,60
8800,71,1,1,9,0,60
8850,71,1,1,9,0,60
8900,68,1,1,6,0,60
8950,68,1,1,6,0,60
9000,68,1,1,6,0,60
9050,68,1,1,6,0,60
9100,71,1,1,9,0,60
9150,71,1,1,9,0,60
9200,68,1,1,6,0,60
9250,68,1,1,6,0,60
9300,68,1,1,6,0,60
9350,68,1,1,6,0,60
9400,71,1,1,9,0,60
9450,71,1,1,9,0,60
9500,68,1,1,6,0,60
9550,68,1,1,6,0,60
9600,68,1,1,6,0,60
9650,68,1,1,6,0,60
9700,71,1,1,9,0,60
9750,71,1,1,9,0,60
9800,68,1,1,6,0,60
9850,68,1,1,6,0,60
9900,68,1,1,6,0,60
9950,68,1,1,6,0,60
10000,71,1,1,9,0,60
10050,71,1,1,9,0,60
10100,68,1,1,6,0,60
10150,68,1,1,6,0,60
10200,68,1,1,6,0,60
10250,68,1,1,6,0,60
10300,71,1,1,9,0,60
10350,71,1,1,9,0,60
10400,68,1,1,6,0,60
10450,68,1,1,6,0,60
10500,68,1,1,6,0,60
10550,68,1,1,6,0,60
10600,71,1,1,9,0,60
10650,71,1,1,9,0,60
10700,68,1,1,6,0,60
10750,68,1,1,6,0,60
10800,68,1,1,6,0,60
10850,68,1,1,6,0,60
10900,71,1,1,9,0,60
10950,71,1,1,9,0,60
11000,68,1,1,6,0,60
11050,68,1,1,6,0,60
11100,68,1,1,6,0,60
11150,68,1,1,6,0,60
11200,71,1,1,9,0,60
11250,71,1,1,9,0,60
11300,68,1,1,6,0,60
11350,68,1,1,6,0,60
11400,68,1,1,6,0,60
11450,68,1,1,6,0,60
11500,71,1,1,9,0,60
11550,71,1,1,9,0,60
11600,68,1,1,6,0,60
11650,68,1,1,6,0,60
11700,68,1,1,6,0,60
11750,68,1,1,6,0,60
11800,71,1,1,9,0,60
11850,71,1,1,9,0,60
11900,68,1,1,6,0,60
11950,68,1,1,6,0,60
12000,68,1,1,6,0,60
12050,68,1,1,6,0,60
