id,type,src,dst,srcLabel,dstLabel,app,latency,wait,message,ctime,size,buffer
1,LINK,2,26,Gateway-1,EndDevice-1,Application-1,2.0000001942646155,0.0,M_Req,100,1973,0
2,LINK,2,27,Gateway-1,EndDevice-2,Application-2,2.00000162304,0.0,M_Req,100,16484,1
3,LINK,2,28,Gateway-1,EndDevice-3,Application-3,2.0000003447138464,0.0,M_Req,100,3501,2
4,LINK,2,29,Gateway-1,EndDevice-4,Application-4,2.000000083003077,0.0,M_Req,100,843,3
5,LINK,4,30,Gateway-2,EndDevice-5,Application-5,2.000000825403077,0.0,M_Req,100,8383,4
6,LINK,4,31,Gateway-2,EndDevice-6,Application-6,2.0000003114338463,0.0,M_Req,100,3163,5
7,LINK,4,32,Gateway-2,EndDevice-7,Application-7,2.000001536787692,0.0,M_Req,100,15608,6
8,LINK,4,33,Gateway-2,EndDevice-8,Application-8,2.0000011209846154,0.0,M_Req,100,11385,7
9,LINK,6,34,Gateway-3,EndDevice-9,Application-9,2.000001110252308,0.0,M_Req,100,11276,8
10,LINK,6,35,Gateway-3,EndDevice-10,Application-10,2.000001248393846,0.0,M_Req,100,12679,9
11,LINK,6,36,Gateway-3,EndDevice-11,Application-11,2.0000006194215385,0.0,M_Req,100,6291,10
12,LINK,6,37,Gateway-3,EndDevice-12,Application-12,2.000001241993846,0.0,M_Req,100,12614,11
13,LINK,8,38,Gateway-4,EndDevice-13,Application-13,2.0000010039138463,0.0,M_Req,100,10196,12
14,LINK,8,39,Gateway-4,EndDevice-14,Application-14,2.000000551286154,0.0,M_Req,100,5599,13
15,LINK,8,40,Gateway-4,EndDevice-15,Application-15,2.0000003005046154,0.0,M_Req,100,3052,14
16,LINK,8,41,Gateway-4,EndDevice-16,Application-16,2.0000015619938463,0.0,M_Req,100,15864,15
17,LINK,10,42,Gateway-5,EndDevice-17,Application-17,2.000001363790769,0.0,M_Req,100,13851,16
18,LINK,10,43,Gateway-5,EndDevice-18,Application-18,2.0000018882953845,0.0,M_Req,100,19178,17
19,LINK,10,44,Gateway-5,EndDevice-19,Application-19,2.000000648073846,0.0,M_Req,100,6582,18
20,LINK,10,45,Gateway-5,EndDevice-20,Application-20,2.0000002836676924,0.0,M_Req,100,2881,19
21,LINK,12,46,Gateway-6,EndDevice-21,Application-21,2.0000018219323077,0.0,M_Req,100,18504,20
22,LINK,12,47,Gateway-6,EndDevice-22,Application-22,2.0000013694030767,0.0,M_Req,100,13908,21
23,LINK,12,48,Gateway-6,EndDevice-23,Application-23,2.000000081329231,0.0,M_Req,100,826,22
24,LINK,12,49,Gateway-6,EndDevice-24,Application-24,2.000001847729231,0.0,M_Req,100,18766,23
25,LINK,14,50,Gateway-7,EndDevice-25,Application-25,2.0000008955076924,0.0,M_Req,100,9095,24
26,LINK,14,51,Gateway-7,EndDevice-26,Application-26,2.0000014843076923,0.0,M_Req,100,15075,25
27,LINK,14,52,Gateway-7,EndDevice-27,Application-27,2.0000017065353846,0.0,M_Req,100,17332,26
28,LINK,14,53,Gateway-7,EndDevice-28,Application-28,2.0000009929846154,0.0,M_Req,100,10085,27
29,LINK,16,54,Gateway-8,EndDevice-29,Application-29,2.000000466609231,0.0,M_Req,100,4739,28
30,LINK,16,55,Gateway-8,EndDevice-30,Application-30,2.000001318596923,0.0,M_Req,100,13392,29
31,LINK,16,56,Gateway-8,EndDevice-31,Application-31,2.0000003367384616,0.0,M_Req,100,3420,30
32,LINK,16,57,Gateway-8,EndDevice-32,Application-32,2.000001140086154,0.0,M_Req,100,11579,31
33,LINK,18,58,Gateway-9,EndDevice-33,Application-33,2.000000036923077,0.0,M_Req,100,375,32
34,LINK,18,59,Gateway-9,EndDevice-34,Application-34,2.0000003608615384,0.0,M_Req,100,3665,33
35,LINK,18,60,Gateway-9,EndDevice-35,Application-35,2.000001071163077,0.0,M_Req,100,10879,34
36,LINK,18,61,Gateway-9,EndDevice-36,Application-36,2.0000013248984616,0.0,M_Req,100,13456,35
37,LINK,20,62,Gateway-10,EndDevice-37,Application-37,2.0000002688984617,0.0,M_Req,100,2731,36
38,LINK,20,63,Gateway-10,EndDevice-38,Application-38,2.0000014448246155,0.0,M_Req,100,14674,37
