id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,TOPO.srcLabel,TOPO.dstLabel,module.src,service,time_in,time_out,time_emit,time_reception
3,COMP_M,Application-3,Application-3-Service,M_Req,8,9,28,3,EndDevice-3,Fog-1,Application-3-EndDevice,0.024666666666666667,104.00000001801962,104.02466668468628,100.0,104.00000001801962
5,COMP_M,Application-5,Application-5-Service,M_Req,14,15,30,5,EndDevice-5,Fog-2,Application-5-EndDevice,0.015259259259259259,104.00000009196906,104.01525935122831,100.0,104.00000009196906
27,COMP_M,Application-27,Application-27-Service,M_Req,80,81,52,15,EndDevice-27,Fog-7,Application-27-EndDevice,0.06622222222222222,104.00000009393843,104.06622231616065,100.0,104.00000009393843
10,COMP_M,Application-10,Application-10-Service,M_Req,29,30,35,7,EndDevice-10,Fog-3,Application-10-EndDevice,0.023185185185185184,104.00000010526222,104.0231852904474,100.0,104.00000010526222
22,COMP_M,Application-22,Application-22-Service,M_Req,65,66,47,13,EndDevice-22,Fog-6,Application-22-EndDevice,0.03,104.00000027443014,104.03000027443014,100.0,104.00000027443014
34,COMP_M,Application-34,Application-34-Service,M_Req,101,102,59,19,EndDevice-34,Fog-9,Application-34-EndDevice,0.047407407407407405,104.00000029707778,104.04740770448518,100.0,104.00000029707778
47,COMP_M,Application-47,Application-47-Service,M_Req,140,141,72,25,EndDevice-47,Fog-12,Application-47-EndDevice,0.03214814814814815,104.00000034562247,104.03214849377062,100.0,104.00000034562247
38,COMP_M,Application-38,Application-38-Service,M_Req,113,114,63,21,EndDevice-38,Fog-10,Application-38-EndDevice,0.040296296296296295,104.00000046063302,104.04029675692931,100.0,104.00000046063302
30,COMP_M,Application-30,Application-30-Service,M_Req,89,90,55,17,EndDevice-30,Fog-8,Application-30-EndDevice,0.07155555555555555,104.00000046339011,104.07155601894567,100.0,104.00000046339011
18,COMP_M,Application-18,Application-18-Service,M_Req,53,54,43,11,EndDevice-18,Fog-5,Application-18-EndDevice,0.023185185185185184,104.0000004975585,104.02318568274369,100.0,104.0000004975585
14,COMP_M,Application-14,Application-14-Service,M_Req,41,42,39,9,EndDevice-14,Fog-4,Application-14-EndDevice,0.020962962962962964,104.00000052237242,104.02096348533539,100.0,104.00000052237242
41,COMP_M,Application-41,Application-41-Service,M_Req,122,123,66,23,EndDevice-41,Fog-11,Application-41-EndDevice,0.04059259259259259,104.00000074520536,104.04059333779794,100.0,104.00000074520536
4,COMP_M,Application-4,Application-4-Service,M_Req,11,12,29,3,EndDevice-4,Fog-1,Application-4-EndDevice,0.018962962962962963,106.00000001802782,106.01896298099078,100.0,106.00000001802782
7,COMP_M,Application-7,Application-7-Service,M_Req,20,21,32,5,EndDevice-7,Fog-2,Application-7-EndDevice,0.033851851851851855,106.00000009197771,106.03385194382956,100.0,106.00000009197771
26,COMP_M,Application-26,Application-26-Service,M_Req,77,78,51,15,EndDevice-26,Fog-7,Application-26-EndDevice,0.07303703703703704,106.00000009396562,106.07303713100266,100.0,106.00000009396562
9,COMP_M,Application-9,Application-9-Service,M_Req,26,27,34,7,EndDevice-9,Fog-3,Application-9-EndDevice,0.019925925925925927,106.00000010527398,106.01992603119992,100.0,106.00000010527398
24,COMP_M,Application-24,Application-24-Service,M_Req,71,72,49,13,EndDevice-24,Fog-6,Application-24-EndDevice,0.033407407407407406,106.0000002744492,106.03340768185662,100.0,106.0000002744492
36,COMP_M,Application-36,Application-36-Service,M_Req,107,108,61,19,EndDevice-36,Fog-9,Application-36-EndDevice,0.04059259259259259,106.00000029711613,106.04059288970872,100.0,106.00000029711613
46,COMP_M,Application-46,Application-46-Service,M_Req,137,138,71,25,EndDevice-46,Fog-12,Application-46-EndDevice,0.04340740740740741,106.00000034565502,106.04340775306243,100.0,106.00000034565502
39,COMP_M,Application-39,Application-39-Service,M_Req,116,117,64,21,EndDevice-39,Fog-10,Application-39-EndDevice,0.03481481481481481,106.00000046068021,106.03481527549502,100.0,106.00000046068021
29,COMP_M,Application-29,Application-29-Service,M_Req,86,87,54,17,EndDevice-29,Fog-8,Application-29-EndDevice,0.07362962962962963,106.00000046344809,106.07363009307772,100.0,106.00000046344809
20,COMP_M,Application-20,Application-20-Service,M_Req,59,60,45,11,EndDevice-20,Fog-5,Application-20-EndDevice,0.018666666666666668,106.00000049760831,106.01866716427497,100.0,106.00000049760831
16,COMP_M,Application-16,Application-16-Service,M_Req,47,48,41,9,EndDevice-16,Fog-4,Application-16-EndDevice,0.024962962962962965,106.00000052247015,106.0249634854331,100.0,106.00000052247015
43,COMP_M,Application-43,Application-43-Service,M_Req,128,129,68,23,EndDevice-43,Fog-11,Application-43-EndDevice,0.0685925925925926,106.00000074525707,106.06859333784966,100.0,106.00000074525707
2,COMP_M,Application-2,Application-2-Service,M_Req,5,6,27,3,EndDevice-2,Fog-1,Application-2-EndDevice,0.018074074074074076,108.00000001805667,108.01807409213075,100.0,108.00000001805667
6,COMP_M,Application-6,Application-6-Service,M_Req,17,18,31,5,EndDevice-6,Fog-2,Application-6-EndDevice,0.02585185185185185,108.00000009205135,108.0258519439032,100.0,108.00000009205135
28,COMP_M,Application-28,Application-28-Service,M_Req,83,84,53,15,EndDevice-28,Fog-7,Application-28-EndDevice,0.052444444444444446,108.00000009403708,108.05244453848152,100.0,108.00000009403708
12,COMP_M,Application-12,Application-12-Service,M_Req,35,36,37,7,EndDevice-12,Fog-3,Application-12-EndDevice,0.03548148148148148,108.00000010534283,108.03548158682432,100.0,108.00000010534283
23,COMP_M,Application-23,Application-23-Service,M_Req,68,69,48,13,EndDevice-23,Fog-6,Application-23-EndDevice,0.024814814814814814,108.0000002745143,108.02481508932912,100.0,108.0000002745143
33,COMP_M,Application-33,Application-33-Service,M_Req,98,99,58,19,EndDevice-33,Fog-9,Application-33-EndDevice,0.04948148148148148,108.00000029721016,108.04948177869164,100.0,108.00000029721016
45,COMP_M,Application-45,Application-45-Service,M_Req,134,135,70,25,EndDevice-45,Fog-12,Application-45-EndDevice,0.042222222222222223,108.00000034569722,108.04222256791944,100.0,108.00000034569722
37,COMP_M,Application-37,Application-37-Service,M_Req,110,111,62,21,EndDevice-37,Fog-10,Application-37-EndDevice,0.07288888888888889,108.00000046075978,108.07288934964866,100.0,108.00000046075978
32,COMP_M,Application-32,Application-32-Service,M_Req,95,96,57,17,EndDevice-32,Fog-8,Application-32-EndDevice,0.05925925925925926,108.0000004635171,108.05925972277636,100.0,108.0000004635171
17,COMP_M,Application-17,Application-17-Service,M_Req,50,51,42,11,EndDevice-17,Fog-5,Application-17-EndDevice,0.01911111111111111,108.00000049770054,108.01911160881166,100.0,108.00000049770054
13,COMP_M,Application-13,Application-13-Service,M_Req,38,39,38,9,EndDevice-13,Fog-4,Application-13-EndDevice,0.03562962962962963,108.0000005225715,108.03563015220112,100.0,108.0000005225715
44,COMP_M,Application-44,Application-44-Service,M_Req,131,132,69,23,EndDevice-44,Fog-11,Application-44-EndDevice,0.05851851851851852,108.00000074533712,108.05851926385564,100.0,108.00000074533712
1,COMP_M,Application-1,Application-1-Service,M_Req,2,3,26,3,EndDevice-1,Fog-1,Application-1-EndDevice,0.03222222222222222,110.00000001812387,110.03222224034609,100.0,110.00000001812387
8,COMP_M,Application-8,Application-8-Service,M_Req,23,24,33,5,EndDevice-8,Fog-2,Application-8-EndDevice,0.020370370370370372,110.00000009212717,110.02037046249754,100.0,110.00000009212717
25,COMP_M,Application-25,Application-25-Service,M_Req,74,75,50,15,EndDevice-25,Fog-7,Application-25-EndDevice,0.031703703703703706,110.00000009416377,110.03170379786746,100.0,110.00000009416377
11,COMP_M,Application-11,Application-11-Service,M_Req,32,33,36,7,EndDevice-11,Fog-3,Application-11-EndDevice,0.028444444444444446,110.00000010543782,110.02844454988227,100.0,110.00000010543782
21,COMP_M,Application-21,Application-21-Service,M_Req,62,63,46,13,EndDevice-21,Fog-6,Application-21-EndDevice,0.016444444444444446,110.00000027464132,110.01644471908577,100.0,110.00000027464132
35,COMP_M,Application-35,Application-35-Service,M_Req,104,105,60,19,EndDevice-35,Fog-9,Application-35-EndDevice,0.0602962962962963,110.00000029733694,110.06029659363324,100.0,110.00000029733694
48,COMP_M,Application-48,Application-48-Service,M_Req,143,144,73,25,EndDevice-48,Fog-12,Application-48-EndDevice,0.044444444444444446,110.00000034575996,110.04444479020441,100.0,110.00000034575996
40,COMP_M,Application-40,Application-40-Service,M_Req,119,120,65,21,EndDevice-40,Fog-10,Application-40-EndDevice,0.030074074074074073,110.00000046087818,110.03007453495226,100.0,110.00000046087818
31,COMP_M,Application-31,Application-31-Service,M_Req,92,93,56,17,EndDevice-31,Fog-8,Application-31-EndDevice,0.031703703703703706,110.00000046359052,110.03170416729422,100.0,110.00000046359052
19,COMP_M,Application-19,Application-19-Service,M_Req,56,57,44,11,EndDevice-19,Fog-5,Application-19-EndDevice,0.021703703703703704,110.00000049780456,110.02170420150827,100.0,110.00000049780456
15,COMP_M,Application-15,Application-15-Service,M_Req,44,45,40,9,EndDevice-15,Fog-4,Application-15-EndDevice,0.03548148148148148,110.00000052269124,110.03548200417272,100.0,110.00000052269124
42,COMP_M,Application-42,Application-42-Service,M_Req,125,126,67,23,EndDevice-42,Fog-11,Application-42-EndDevice,0.061481481481481484,110.00000074542238,110.06148222690386,100.0,110.00000074542238
10,COMP_M,Application-10,Application-10-EndDevice,M_Resp,30,29,7,35,Fog-3,EndDevice-10,Application-10-Service,5.1494252873563215e-06,114.00000030798637,114.00000545741166,104.0231852904474,114.00000030798637
27,COMP_M,Application-27,Application-27-EndDevice,M_Resp,81,80,15,52,Fog-7,EndDevice-27,Application-27-Service,4.273809523809524e-06,114.0000003471279,114.00000462093742,104.06622231616065,114.0000003471279
34,COMP_M,Application-34,Application-34-EndDevice,M_Resp,102,101,19,59,Fog-9,EndDevice-34,Application-34-Service,2.7272727272727272e-06,114.00000044198634,114.00000316925907,104.04740770448518,114.00000044198634
