id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,TOPO.srcLabel,TOPO.dstLabel,module.src,service,time_in,time_out,time_emit,time_reception
37,COMP_M,Application-37,Application-37-Service,M_Req,110,111,62,21,EndDevice-37,Fog-10,Application-37-EndDevice,0.03614814814814815,104.00000002993426,104.0361481780824,100.0,104.00000002993426
10,COMP_M,Application-10,Application-10-Service,M_Req,29,30,35,7,EndDevice-10,Fog-3,Application-10-EndDevice,0.015111111111111112,104.00000015489006,104.01511126600117,100.0,104.00000015489006
47,COMP_M,Application-47,Application-47-Service,M_Req,140,141,72,25,EndDevice-47,Fog-12,Application-47-EndDevice,0.05733333333333333,104.00000015626863,104.05733348960196,100.0,104.00000015626863
3,COMP_M,Application-3,Application-3-Service,M_Req,8,9,28,3,EndDevice-3,Fog-1,Application-3-EndDevice,0.01622222222222222,104.00000028240605,104.01622250462827,100.0,104.00000028240605
14,COMP_M,Application-14,Application-14-Service,M_Req,41,42,39,9,EndDevice-14,Fog-4,Application-14-EndDevice,0.02822222222222222,104.00000030968167,104.0282225319039,100.0,104.00000030968167
35,COMP_M,Application-35,Application-35-Service,M_Req,104,105,60,19,EndDevice-35,Fog-9,Application-35-EndDevice,0.04296296296296296,104.00000032346718,104.04296328643014,100.0,104.00000032346718
22,COMP_M,Application-22,Application-22-Service,M_Req,65,66,47,13,EndDevice-22,Fog-6,Application-22-EndDevice,0.01948148148148148,104.00000034463778,104.01948182611926,100.0,104.00000034463778
42,COMP_M,Application-42,Application-42-Service,M_Req,125,126,67,23,EndDevice-42,Fog-11,Application-42-EndDevice,0.04859259259259259,104.00000036068806,104.04859295328066,100.0,104.00000036068806
19,COMP_M,Application-19,Application-19-Service,M_Req,56,57,44,11,EndDevice-19,Fog-5,Application-19-EndDevice,0.020814814814814814,104.00000053704413,104.02081535185894,100.0,104.00000053704413
5,COMP_M,Application-5,Application-5-Service,M_Req,14,15,30,5,EndDevice-5,Fog-2,Application-5-EndDevice,0.036222222222222225,104.00000060065442,104.03622282287664,100.0,104.00000060065442
29,COMP_M,Application-29,Application-29-Service,M_Req,86,87,54,17,EndDevice-29,Fog-8,Application-29-EndDevice,0.06,104.00000063226264,104.06000063226264,100.0,104.00000063226264
25,COMP_M,Application-25,Application-25-Service,M_Req,74,75,50,15,EndDevice-25,Fog-7,Application-25-EndDevice,0.07125925925925926,104.00000063501973,104.071259894279,100.0,104.00000063501973
40,COMP_M,Application-40,Application-40-Service,M_Req,119,120,65,21,EndDevice-40,Fog-10,Application-40-EndDevice,0.05422222222222222,106.00000002996592,106.05422225218814,100.0,106.00000002996592
9,COMP_M,Application-9,Application-9-Service,M_Req,26,27,34,7,EndDevice-9,Fog-3,Application-9-EndDevice,0.03037037037037037,106.00000015492783,106.0303705252982,100.0,106.00000015492783
48,COMP_M,Application-48,Application-48-Service,M_Req,143,144,73,25,EndDevice-48,Fog-12,Application-48-EndDevice,0.06725925925925925,106.00000015630792,106.06725941556718,100.0,106.00000015630792
