id,type,src,dst,srcLabel,dstLabel,app,latency,wait,message,ctime,size,buffer
1,LINK,2,26,Gateway-1,EndDevice-1,Application-1,2.0000016238276923,0.0,M_Req,100,16492,0
2,LINK,2,27,Gateway-1,EndDevice-2,Application-2,2.000000987470769,0.0,M_Req,100,10029,1
3,LINK,2,28,Gateway-1,EndDevice-3,Application-3,2.0000002823876923,0.0,M_Req,100,2868,2
4,LINK,2,29,Gateway-1,EndDevice-4,Application-4,2.000001471606154,0.0,M_Req,100,14946,3
5,LINK,4,30,Gateway-2,EndDevice-5,Application-5,2.0000006006153845,0.0,M_Req,100,6100,4
6,LINK,4,31,Gateway-2,EndDevice-6,Application-6,2.0000012555815383,0.0,M_Req,100,12752,5
7,LINK,4,32,Gateway-2,EndDevice-7,Application-7,2.0000006695384616,0.0,M_Req,100,6800,6
8,LINK,4,33,Gateway-2,EndDevice-8,Application-8,2.0000016237292306,0.0,M_Req,100,16491,7
9,LINK,6,34,Gateway-3,EndDevice-9,Application-9,2.00000058112,0.0,M_Req,100,5902,8
10,LINK,6,35,Gateway-3,EndDevice-10,Application-10,2.00000015488,0.0,M_Req,100,1573,9
11,LINK,6,36,Gateway-3,EndDevice-11,Application-11,2.000000802363077,0.0,M_Req,100,8149,10
12,LINK,6,37,Gateway-3,EndDevice-12,Application-12,2.000001555003077,0.0,M_Req,100,15793,11
13,LINK,8,38,Gateway-4,EndDevice-13,Application-13,2.000000773809231,0.0,M_Req,100,7859,12
14,LINK,8,39,Gateway-4,EndDevice-14,Application-14,2.0000003096615386,0.0,M_Req,100,3145,13
15,LINK,8,40,Gateway-4,EndDevice-15,Application-15,2.000001839852308,0.0,M_Req,100,18686,14
16,LINK,8,41,Gateway-4,EndDevice-16,Application-16,2.000001660553846,0.0,M_Req,100,16865,15
17,LINK,10,42,Gateway-5,EndDevice-17,Application-17,2.0000018932184616,0.0,M_Req,100,19228,16
18,LINK,10,43,Gateway-5,EndDevice-18,Application-18,2.000000693366154,0.0,M_Req,100,7042,17
19,LINK,10,44,Gateway-5,EndDevice-19,Application-19,2.000000537009231,0.0,M_Req,100,5454,18
20,LINK,10,45,Gateway-5,EndDevice-20,Application-20,2.000001482436923,0.0,M_Req,100,15056,19
21,LINK,12,46,Gateway-6,EndDevice-21,Application-21,2.000001786092308,0.0,M_Req,100,18140,20
22,LINK,12,47,Gateway-6,EndDevice-22,Application-22,2.0000003446153847,0.0,M_Req,100,3500,21
23,LINK,12,48,Gateway-6,EndDevice-23,Application-23,2.0000018453661537,0.0,M_Req,100,18742,22
24,LINK,12,49,Gateway-6,EndDevice-24,Application-24,2.0000016018707694,0.0,M_Req,100,16269,23
25,LINK,14,50,Gateway-7,EndDevice-25,Application-25,2.0000006349784614,0.0,M_Req,100,6449,24
26,LINK,14,51,Gateway-7,EndDevice-26,Application-26,2.0000018800246155,0.0,M_Req,100,19094,25
27,LINK,14,52,Gateway-7,EndDevice-27,Application-27,2.000001491003077,0.0,M_Req,100,15143,26
28,LINK,14,53,Gateway-7,EndDevice-28,Application-28,2.000001530387692,0.0,M_Req,100,15543,27
29,LINK,16,54,Gateway-8,EndDevice-29,Application-29,2.0000006322215387,0.0,M_Req,100,6421,28
30,LINK,16,55,Gateway-8,EndDevice-30,Application-30,2.000000733243077,0.0,M_Req,100,7447,29
31,LINK,16,56,Gateway-8,EndDevice-31,Application-31,2.0000017965292307,0.0,M_Req,100,18246,30
32,LINK,16,57,Gateway-8,EndDevice-32,Application-32,2.000001499963077,0.0,M_Req,100,15234,31
33,LINK,18,58,Gateway-9,EndDevice-33,Application-33,2.0000015044923076,0.0,M_Req,100,15280,32
34,LINK,18,59,Gateway-9,EndDevice-34,Application-34,2.0000006097723078,0.0,M_Req,100,6193,33
35,LINK,18,60,Gateway-9,EndDevice-35,Application-35,2.000000323446154,0.0,M_Req,100,3285,34
36,LINK,18,61,Gateway-9,EndDevice-36,Application-36,2.0000013709784614,0.0,M_Req,100,13924,35
37,LINK,20,62,Gateway-10,EndDevice-37,Application-37,2.0000000299323077,0.0,M_Req,100,304,36
38,LINK,20,63,Gateway-10,EndDevice-38,Application-38,2.000000651126154,0.0,M_Req,100,6613,37
39,LINK,20,64,Gateway-10,EndDevice-39,Application-39,2.0000007720369233,0.0,M_Req,100,7841,38
40,LINK,20,65,Gateway-10,EndDevice-40,Application-40,2.0000004871876924,0.0,M_Req,100,4948,39
41,LINK,22,66,Gateway-11,EndDevice-41,Application-41,2.0000004138338463,0.0,M_Req,100,4203,40
42,LINK,22,67,Gateway-11,EndDevice-42,Application-42,2.0000003606646155,0.0,M_Req,100,3663,41
43,LINK,22,68,Gateway-11,EndDevice-43,Application-43,2.000000390203077,0.0,M_Req,100,3963,42
44,LINK,22,69,Gateway-11,EndDevice-44,Application-44,2.0000013804307692,0.0,M_Req,100,14020,43
45,LINK,24,70,Gateway-12,EndDevice-45,Application-45,2.0000017712246154,0.0,M_Req,100,17989,44
46,LINK,24,71,Gateway-12,EndDevice-46,Application-46,2.0000012385476924,0.0,M_Req,100,12579,45
47,LINK,24,72,Gateway-12,EndDevice-47,Application-47,2.0000001562584617,0.0,M_Req,100,1587,46
48,LINK,24,73,Gateway-12,EndDevice-48,Application-48,2.0000006044553844,0.0,M_Req,100,6139,47
37,LINK,20,21,Gateway-10,Fog-10,Application-37,2.0000000000019456,0.0,M_Req,102.00000002993231,304,47
10,LINK,6,7,Gateway-3,Fog-3,Application-10,2.000000000010067,0.0,M_Req,102.00000015488,1573,47
47,LINK,24,25,Gateway-12,Fog-12,Application-47,2.0000000000101568,0.0,M_Req,102.00000015625847,1587,47
3,LINK,2,3,Gateway-1,Fog-1,Application-3,2.000000000018355,0.0,M_Req,102.00000028238769,2868,47
14,LINK,8,9,Gateway-4,Fog-4,Application-14,2.000000000020128,0.0,M_Req,102.00000030966154,3145,47
35,LINK,18,19,Gateway-9,Fog-9,Application-35,2.000000000021024,0.0,M_Req,102.00000032344616,3285,47
22,LINK,12,13,Gateway-6,Fog-6,Application-22,2.0000000000224,0.0,M_Req,102.00000034461539,3500,47
42,LINK,22,23,Gateway-11,Fog-11,Application-42,2.000000000023443,0.0,M_Req,102.00000036066461,3663,47
43,LINK,22,23,Gateway-11,Fog-11,Application-43,2.0000000000253633,1.9999999704849927,M_Req,102.00000039020307,3963,47
41,LINK,22,23,Gateway-11,Fog-11,Application-41,2.0000000000268994,3.9999999468795835,M_Req,102.00000041383385,4203,47
40,LINK,20,21,Gateway-10,Fog-10,Application-40,2.000000000031667,1.9999995427465649,M_Req,102.00000048718769,4948,47
19,LINK,10,11,Gateway-5,Fog-5,Application-19,2.0000000000349054,0.0,M_Req,102.00000053700923,5454,47
9,LINK,6,7,Gateway-3,Fog-3,Application-9,2.000000000037773,1.9999995737700544,M_Req,102.00000058112,5902,47
5,LINK,4,5,Gateway-2,Fog-2,Application-5,2.00000000003904,0.0,M_Req,102.00000060061538,6100,47
48,LINK,24,25,Gateway-12,Fog-12,Application-48,2.0000000000392895,1.9999995518132465,M_Req,102.00000060445538,6139,47
