id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,TOPO.srcLabel,TOPO.dstLabel,module.src,service,time_in,time_out,time_emit,time_reception
12,COMP_M,Application-12,Application-12-Service,M_Req,35,36,37,7,EndDevice-12,Fog-3,Application-12-EndDevice,0.02451851851851852,104.00000005356655,104.02451857208507,100.0,104.00000005356655
33,COMP_M,Application-33,Application-33-Service,M_Req,98,99,58,19,EndDevice-33,Fog-9,Application-33-EndDevice,0.06237037037037037,104.00000005799761,104.06237042836798,100.0,104.00000005799761
15,COMP_M,Application-15,Application-15-Service,M_Req,44,45,40,9,EndDevice-15,Fog-4,Application-15-EndDevice,0.02325925925925926,104.00000009630163,104.0232593555609,100.0,104.00000009630163
31,COMP_M,Application-31,Application-31-Service,M_Req,92,93,56,17,EndDevice-31,Fog-8,Application-31-EndDevice,0.0442962962962963,104.00000010920094,104.04429640549724,100.0,104.00000010920094
44,COMP_M,Application-44,Application-44-Service,M_Req,131,132,69,23,EndDevice-44,Fog-11,Application-44-EndDevice,0.036,104.00000018817224,104.03600018817224,100.0,104.00000018817224
37,COMP_M,Application-37,Application-37-Service,M_Req,110,111,62,21,EndDevice-37,Fog-10,Application-37-EndDevice,0.04755555555555555,104.00000034739489,104.04755590295045,100.0,104.00000034739489
2,COMP_M,Application-2,Application-2-Service,M_Req,5,6,27,3,EndDevice-2,Fog-1,Application-2-EndDevice,0.034444444444444444,104.00000042095043,104.03444486539487,100.0,104.00000042095043
5,COMP_M,Application-5,Application-5-Service,M_Req,14,15,30,5,EndDevice-5,Fog-2,Application-5-EndDevice,0.035925925925925924,104.00000043709917,104.0359263630251,100.0,104.00000043709917
27,COMP_M,Application-27,Application-27-Service,M_Req,80,81,52,15,EndDevice-27,Fog-7,Application-27-EndDevice,0.06992592592592592,104.00000054531544,104.06992647124137,100.0,104.00000054531544
46,COMP_M,Application-46,Application-46-Service,M_Req,137,138,71,25,EndDevice-46,Fog-12,Application-46-EndDevice,0.031407407407407405,104.00000063295191,104.03140804035932,100.0,104.00000063295191
19,COMP_M,Application-19,Application-19-Service,M_Req,56,57,44,11,EndDevice-19,Fog-5,Application-19-EndDevice,0.02762962962962963,104.00000063876152,104.02763026839115,100.0,104.00000063876152
23,COMP_M,Application-23,Application-23-Service,M_Req,68,69,48,13,EndDevice-23,Fog-6,Application-23-EndDevice,0.015111111111111112,104.00000110825665,104.01511221936777,100.0,104.00000110825665
9,COMP_M,Application-9,Application-9-Service,M_Req,26,27,34,7,EndDevice-9,Fog-3,Application-9-EndDevice,0.018740740740740742,106.00000005362371,106.01874079436445,100.0,106.00000005362371
35,COMP_M,Application-35,Application-35-Service,M_Req,104,105,60,19,EndDevice-35,Fog-9,Application-35-EndDevice,0.04237037037037037,106.00000005807948,106.04237042844984,100.0,106.00000005807948
16,COMP_M,Application-16,Application-16-Service,M_Req,47,48,41,9,EndDevice-16,Fog-4,Application-16-EndDevice,0.033555555555555554,106.0000000963456,106.03355565190115,100.0,106.0000000963456
29,COMP_M,Application-29,Application-29-Service,M_Req,86,87,54,17,EndDevice-29,Fog-8,Application-29-EndDevice,0.05407407407407407,106.0000001092144,106.05407418328848,100.0,106.0000001092144
43,COMP_M,Application-43,Application-43-Service,M_Req,128,129,68,23,EndDevice-43,Fog-11,Application-43-EndDevice,0.061037037037037035,106.00000018824353,106.06103722528057,100.0,106.00000018824353
39,COMP_M,Application-39,Application-39-Service,M_Req,116,117,64,21,EndDevice-39,Fog-10,Application-39-EndDevice,0.03718518518518518,106.00000034744308,106.03718553262826,100.0,106.00000034744308
4,COMP_M,Application-4,Application-4-Service,M_Req,11,12,29,3,EndDevice-4,Fog-1,Application-4-EndDevice,0.035111111111111114,106.00000042101499,106.0351115321261,100.0,106.00000042101499
6,COMP_M,Application-6,Application-6-Service,M_Req,17,18,31,5,EndDevice-6,Fog-2,Application-6-EndDevice,0.03014814814814815,106.00000043714242,106.03014858529056,100.0,106.00000043714242
28,COMP_M,Application-28,Application-28-Service,M_Req,83,84,53,15,EndDevice-28,Fog-7,Application-28-EndDevice,0.06325925925925927,106.00000054540058,106.06325980465984,100.0,106.00000054540058
47,COMP_M,Application-47,Application-47-Service,M_Req,140,141,72,25,EndDevice-47,Fog-12,Application-47-EndDevice,0.035555555555555556,106.00000063300722,106.03555618856278,100.0,106.00000063300722
