id,type,src,dst,srcLabel,dstLabel,app,latency,wait,message,ctime,size,buffer
1,LINK,2,26,Gateway-1,EndDevice-1,Application-1,2.0000018400492308,0.0,M_Req,100,18688,0
2,LINK,2,27,Gateway-1,EndDevice-2,Application-2,2.0000005556184615,0.0,M_Req,100,5643,1
3,LINK,2,28,Gateway-1,EndDevice-3,Application-3,2.0000006898215386,0.0,M_Req,100,7006,2
4,LINK,2,29,Gateway-1,EndDevice-4,Application-4,2.000001837193846,0.0,M_Req,100,18659,3
5,LINK,4,30,Gateway-2,EndDevice-5,Application-5,2.0000005418338462,0.0,M_Req,100,5503,4
6,LINK,4,31,Gateway-2,EndDevice-6,Application-6,2.0000008671507694,0.0,M_Req,100,8807,5
7,LINK,4,32,Gateway-2,EndDevice-7,Application-7,2.0000008743384616,0.0,M_Req,100,8880,6
8,LINK,4,33,Gateway-2,EndDevice-8,Application-8,2.0000011471753845,0.0,M_Req,100,11651,7
9,LINK,6,34,Gateway-3,EndDevice-9,Application-9,2.000000393846154,0.0,M_Req,100,4000,8
10,LINK,6,35,Gateway-3,EndDevice-10,Application-10,2.0000009085046155,0.0,M_Req,100,9227,9
11,LINK,6,36,Gateway-3,EndDevice-11,Application-11,2.000001937329231,0.0,M_Req,100,19676,10
12,LINK,6,37,Gateway-3,EndDevice-12,Application-12,2.0000016118153847,0.0,M_Req,100,16370,11
13,LINK,8,38,Gateway-4,EndDevice-13,Application-13,2.0000014055384616,0.0,M_Req,100,14275,12
14,LINK,8,39,Gateway-4,EndDevice-14,Application-14,2.000000811126154,0.0,M_Req,100,8238,13
15,LINK,8,40,Gateway-4,EndDevice-15,Application-15,2.000000606916923,0.0,M_Req,100,6164,14
16,LINK,8,41,Gateway-4,EndDevice-16,Application-16,2.000001616836923,0.0,M_Req,100,16421,15
17,LINK,10,42,Gateway-5,EndDevice-17,Application-17,2.000001161353846,0.0,M_Req,100,11795,16
18,LINK,10,43,Gateway-5,EndDevice-18,Application-18,2.000001097353846,0.0,M_Req,100,11145,17
19,LINK,10,44,Gateway-5,EndDevice-19,Application-19,2.000001954166154,0.0,M_Req,100,19847,18
20,LINK,10,45,Gateway-5,EndDevice-20,Application-20,2.0000003762215384,0.0,M_Req,100,3821,19
21,LINK,12,46,Gateway-6,EndDevice-21,Application-21,2.000000199286154,0.0,M_Req,100,2024,20
22,LINK,12,47,Gateway-6,EndDevice-22,Application-22,2.000001012972308,0.0,M_Req,100,10288,21
23,LINK,12,48,Gateway-6,EndDevice-23,Application-23,2.0000007663261536,0.0,M_Req,100,7783,22
24,LINK,12,49,Gateway-6,EndDevice-24,Application-24,2.0000001415876922,0.0,M_Req,100,1438,23
25,LINK,14,50,Gateway-7,EndDevice-25,Application-25,2.000000027667692,0.0,M_Req,100,281,24
26,LINK,14,51,Gateway-7,EndDevice-26,Application-26,2.0000019354584615,0.0,M_Req,100,19657,25
27,LINK,14,52,Gateway-7,EndDevice-27,Application-27,2.000000966203077,0.0,M_Req,100,9813,26
28,LINK,14,53,Gateway-7,EndDevice-28,Application-28,2.000000646006154,0.0,M_Req,100,6561,27
29,LINK,16,54,Gateway-8,EndDevice-29,Application-29,2.00000012416,0.0,M_Req,100,1261,28
30,LINK,16,55,Gateway-8,EndDevice-30,Application-30,2.0000004980184616,0.0,M_Req,100,5058,29
31,LINK,16,56,Gateway-8,EndDevice-31,Application-31,2.0000006966153845,0.0,M_Req,100,7075,30
32,LINK,16,57,Gateway-8,EndDevice-32,Application-32,2.0000015199507692,0.0,M_Req,100,15437,31
33,LINK,18,58,Gateway-9,EndDevice-33,Application-33,2.000001700923077,0.0,M_Req,100,17275,32
34,LINK,18,59,Gateway-9,EndDevice-34,Application-34,2.00000018816,0.0,M_Req,100,1911,33
35,LINK,18,60,Gateway-9,EndDevice-35,Application-35,2.000001399630769,0.0,M_Req,100,14215,34
36,LINK,18,61,Gateway-9,EndDevice-36,Application-36,2.0000015030153846,0.0,M_Req,100,15265,35
37,LINK,20,62,Gateway-10,EndDevice-37,Application-37,2.000000864787692,0.0,M_Req,100,8783,36
38,LINK,20,63,Gateway-10,EndDevice-38,Application-38,2.0000016496246156,0.0,M_Req,100,16754,37
39,LINK,20,64,Gateway-10,EndDevice-39,Application-39,2.0000009276061537,0.0,M_Req,100,9421,38
40,LINK,20,65,Gateway-10,EndDevice-40,Application-40,2.000001180849231,0.0,M_Req,100,11993,39
41,LINK,22,66,Gateway-11,EndDevice-41,Application-41,2.0000014609723076,0.0,M_Req,100,14838,40
42,LINK,22,67,Gateway-11,EndDevice-42,Application-42,2.0000005839753845,0.0,M_Req,100,5931,41
43,LINK,22,68,Gateway-11,EndDevice-43,Application-43,2.000000925046154,0.0,M_Req,100,9395,42
44,LINK,22,69,Gateway-11,EndDevice-44,Application-44,2.0000006769230767,0.0,M_Req,100,6875,43
45,LINK,24,70,Gateway-12,EndDevice-45,Application-45,2.0000006091815385,0.0,M_Req,100,6187,44
46,LINK,24,71,Gateway-12,EndDevice-46,Application-46,2.0000007296984617,0.0,M_Req,100,7411,45
47,LINK,24,72,Gateway-12,EndDevice-47,Application-47,2.0000013413415383,0.0,M_Req,100,13623,46
48,LINK,24,73,Gateway-12,EndDevice-48,Application-48,2.0000005567015386,0.0,M_Req,100,5654,47
25,LINK,14,15,Gateway-7,Fog-7,Application-25,2.0000000000017986,0.0,M_Req,102.0000000276677,281,47
29,LINK,16,17,Gateway-8,Fog-8,Application-29,2.0000000000080704,0.0,M_Req,102.00000012416,1261,47
24,LINK,12,13,Gateway-6,Fog-6,Application-24,2.0000000000092033,0.0,M_Req,102.00000014158769,1438,47
34,LINK,18,19,Gateway-9,Fog-9,Application-34,2.00000000001223,0.0,M_Req,102.00000018816,1911,47
21,LINK,12,13,Gateway-6,Fog-6,Application-21,2.0000000000129536,1.999999942310751,M_Req,102.00000019928615,2024,47
20,LINK,10,11,Gateway-5,Fog-5,Application-20,2.000000000024454,0.0,M_Req,102.00000037622154,3821,47
9,LINK,6,7,Gateway-3,Fog-3,Application-9,2.0000000000256,0.0,M_Req,102.00000039384615,4000,47
30,LINK,16,17,Gateway-8,Fog-8,Application-30,2.000000000032371,1.9999996261496022,M_Req,102.00000049801847,5058,47
5,LINK,4,5,Gateway-2,Fog-2,Application-5,2.0000000000352194,0.0,M_Req,102.00000054183384,5503,47
2,LINK,2,3,Gateway-1,Fog-1,Application-2,2.000000000036115,0.0,M_Req,102.00000055561846,5643,47
48,LINK,24,25,Gateway-12,Fog-12,Application-48,2.0000000000361857,0.0,M_Req,102.00000055670154,5654,47
42,LINK,22,23,Gateway-11,Fog-11,Application-42,2.0000000000379585,0.0,M_Req,102.00000058397538,5931,47
15,LINK,8,9,Gateway-4,Fog-4,Application-15,2.0000000000394498,0.0,M_Req,102.00000060691693,6164,47
45,LINK,24,25,Gateway-12,Fog-12,Application-45,2.0000000000395968,1.9999999475561765,M_Req,102.00000060918154,6187,47
28,LINK,14,15,Gateway-7,Fog-7,Application-28,2.0000000000419904,1.9999993816633435,M_Req,102.00000064600616,6561,47
44,LINK,22,23,Gateway-11,Fog-11,Application-44,2.000000000044,1.999999907090256,M_Req,102.00000067692308,6875,47
3,LINK,2,3,Gateway-1,Fog-1,Application-3,2.0000000000448384,1.9999998658330327,M_Req,102.00000068982153,7006,47
31,LINK,16,17,Gateway-8,Fog-8,Application-31,2.00000000004528,3.9999994275850526,M_Req,102.00000069661539,7075,47
46,LINK,24,25,Gateway-12,Fog-12,Application-46,2.0000000000474305,3.9999998270788524,M_Req,102.00000072969846,7411,47
23,LINK,12,13,Gateway-6,Fog-6,Application-23,2.0000000000498113,3.999999375283707,M_Req,102.00000076632615,7783,47
14,LINK,8,9,Gateway-4,Fog-4,Application-14,2.000000000052723,1.9999997958302203,M_Req,102.00000081112616,8238,47
37,LINK,20,21,Gateway-10,Fog-10,Application-37,2.000000000056211,0.0,M_Req,102.0000008647877,8783,47
6,LINK,4,5,Gateway-2,Fog-2,Application-6,2.0000000000563647,1.999999674718282,M_Req,102.00000086715077,8807,47
7,LINK,4,5,Gateway-2,Fog-2,Application-7,2.000000000056832,3.9999996675869482,M_Req,102.00000087433847,8880,47
10,LINK,6,7,Gateway-3,Fog-3,Application-10,2.0000000000590528,1.9999994853671268,M_Req,102.00000090850462,9227,47
43,LINK,22,23,Gateway-11,Fog-11,Application-43,2.000000000060128,3.9999996590111806,M_Req,102.00000092504615,9395,47
39,LINK,20,21,Gateway-10,Fog-10,Application-39,2.0000000000602944,1.9999999372377602,M_Req,102.00000092760615,9421,47
27,LINK,14,15,Gateway-7,Fog-7,Application-27,2.000000000062803,3.9999990615084187,M_Req,102.00000096620307,9813,47
22,LINK,12,13,Gateway-6,Fog-6,Application-22,2.0000000000658433,5.999999128687364,M_Req,102.0000010129723,10288,47
18,LINK,10,11,Gateway-5,Fog-5,Application-18,2.000000000071328,1.9999992788921475,M_Req,102.00000109735385,11145,47
8,LINK,4,5,Gateway-2,Fog-2,Application-8,2.0000000000745666,5.9999993948068635,M_Req,102.00000114717538,11651,47
17,LINK,10,11,Gateway-5,Fog-5,Application-17,2.000000000075488,3.9999992149634664,M_Req,102.00000116135385,11795,47
40,LINK,20,21,Gateway-10,Fog-10,Application-40,2.000000000076755,3.999999684054984,M_Req,102.00000118084922,11993,47
47,LINK,24,25,Gateway-12,Fog-12,Application-47,2.000000000087187,5.9999992154832,M_Req,102.00000134134154,13623,47
35,LINK,18,19,Gateway-9,Fog-9,Application-35,2.000000000090976,1.9999987885414612,M_Req,102.00000139963078,14215,47
13,LINK,8,9,Gateway-4,Fog-4,Application-13,2.00000000009136,3.9999992014706436,M_Req,102.00000140553846,14275,47
41,LINK,22,23,Gateway-11,Fog-11,Application-41,2.000000000094963,5.999999123145145,M_Req,102.00000146097231,14838,47
36,LINK,18,19,Gateway-9,Fog-9,Application-36,2.000000000097696,3.9999986852478315,M_Req,102.00000150301538,15265,47
32,LINK,16,17,Gateway-8,Fog-8,Application-32,2.000000000098797,5.9999986042949445,M_Req,102.00000151995077,15437,47
12,LINK,6,7,Gateway-3,Fog-3,Application-12,2.000000000104768,3.999998782115412,M_Req,102.00000161181538,16370,47
16,LINK,8,9,Gateway-4,Fog-4,Application-16,2.0000000001050946,5.999998990263535,M_Req,102.00000161683693,16421,47
38,LINK,20,21,Gateway-10,Fog-10,Application-38,2.000000000107226,5.99999921535634,M_Req,102.00000164962462,16754,47
33,LINK,18,19,Gateway-9,Fog-9,Application-33,2.00000000011056,5.999998487437836,M_Req,102.00000170092308,17275,47
4,LINK,2,3,Gateway-1,Fog-1,Application-4,2.000000000119418,3.9999987185055517,M_Req,102.00000183719385,18659,47
1,LINK,2,3,Gateway-1,Fog-1,Application-1,2.000000000119603,5.999998715769578,M_Req,102.00000184004924,18688,47
26,LINK,14,15,Gateway-7,Fog-7,Application-26,2.0000000001258047,5.999998092315835,M_Req,102.00000193545846,19657,47
11,LINK,6,7,Gateway-3,Fog-3,Application-11,2.0000000001259264,5.999998456706322,M_Req,102.00000193732923,19676,47
19,LINK,10,11,Gateway-5,Fog-5,Application-19,2.0000000001270206,5.999998422226653,M_Req,102.00000195416615,19847,47
9,LINK,6,7,Gateway-3,Fog-3,Application-9,2.0000000000774207,5.983407407697143,M_Resp,104.01659298646433,12097,36
5,LINK,4,5,Gateway-2,Fog-2,Application-5,2.00000000010096,5.981851852039611,M_Resp,104.0181486900172,15775,37
24,LINK,12,13,Gateway-6,Fog-6,Application-24,2.0000000000781184,5.979407407536016,M_Resp,104.02059273418949,12206,38
48,LINK,24,25,Gateway-12,Fog-12,Application-48,2.000000000062669,5.968296296470513,M_Resp,104.03170426044142,9792,39
2,LINK,2,3,Gateway-1,Fog-1,Application-2,2.00000000007616,5.966740741024594,M_Resp,104.03325981491382,11900,40
20,LINK,10,11,Gateway-5,Fog-5,Application-20,2.000000000087488,5.965037037310864,M_Resp,104.03496333920896,13670,41
15,LINK,8,9,Gateway-4,Fog-4,Application-15,2.0000000000602176,5.96407407432325,M_Resp,104.0359265328823,9409,42
29,LINK,16,17,Gateway-8,Fog-8,Application-29,2.000000000017888,5.960148148324592,M_Resp,104.03985197601992,2795,43
34,LINK,18,19,Gateway-9,Fog-9,Application-34,2.0000000000205502,5.953777778077011,M_Resp,104.04622241039446,3211,44
