id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,TOPO.srcLabel,TOPO.dstLabel,module.src,service,time_in,time_out,time_emit,time_reception
47,COMP_M,Application-47,Application-47-Service,M_Req,140,141,72,25,EndDevice-47,Fog-12,Application-47-EndDevice,0.04162962962962963,104.00000015715483,104.04162978678445,100.0,104.00000015715483
31,COMP_M,Application-31,Application-31-Service,M_Req,92,93,56,17,EndDevice-31,Fog-8,Application-31-EndDevice,0.030814814814814816,104.00000068326902,104.03081549808384,100.0,104.00000068326902
15,COMP_M,Application-15,Application-15-Service,M_Req,44,45,40,9,EndDevice-15,Fog-4,Application-15-EndDevice,0.01711111111111111,104.00000096774289,104.017112078854,100.0,104.00000096774289
15,COMP_M,Application-15,Application-15-EndDevice,M_Resp,45,44,9,40,Fog-4,EndDevice-15,Application-15-Service,2.4482758620689657e-06,108.01711231783568,108.01711476611155,104.017112078854,108.01711231783568
31,COMP_M,Application-31,Application-31-EndDevice,M_Resp,93,92,17,56,Fog-8,EndDevice-31,Application-31-Service,7.685185185185185e-06,108.03081644337604,108.03082412856122,104.03081549808384,108.03081644337604
47,COMP_M,Application-47,Application-47-EndDevice,M_Resp,141,140,25,72,Fog-12,EndDevice-47,Application-47-Service,3.681159420289855e-06,108.04163089139779,108.04163457255721,104.04162978678445,108.04163089139779
19,COMP_M,Application-19,Application-19-Service,M_Req,56,57,44,17,EndDevice-19,Fog-8,Application-19-EndDevice,0.06251851851851851,112.00000004220622,112.06251856072474,100.0,112.00000004220622
35,COMP_M,Application-35,Application-35-Service,M_Req,104,105,60,25,EndDevice-35,Fog-12,Application-35-EndDevice,0.031407407407407405,112.00000004846677,112.03140745587419,100.0,112.00000004846677
27,COMP_M,Application-27,Application-27-Service,M_Req,80,81,52,9,EndDevice-27,Fog-4,Application-27-EndDevice,0.017185185185185185,112.00000108051495,112.01718626570013,100.0,112.00000108051495
8,COMP_M,Application-8,Application-8-Service,M_Req,23,24,33,19,EndDevice-8,Fog-9,Application-8-EndDevice,0.051555555555555556,114.00000002087197,114.05155557642752,100.0,114.00000002087197
