id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,TOPO.srcLabel,TOPO.dstLabel,module.src,service,time_in,time_out,time_emit,time_reception
31,COMP_M,Application-31,Application-31-Service,M_Req,92,93,56,17,EndDevice-31,Fog-8,Application-31-EndDevice,0.0642962962962963,104.00000028693557,104.06429658323187,100.0,104.00000028693557
15,COMP_M,Application-15,Application-15-Service,M_Req,44,45,40,9,EndDevice-15,Fog-4,Application-15-EndDevice,0.019333333333333334,104.00000076253572,104.01933409586906,100.0,104.00000076253572
47,COMP_M,Application-47,Application-47-Service,M_Req,140,141,72,25,EndDevice-47,Fog-12,Application-47-EndDevice,0.039851851851851854,104.00000143339778,104.03985328524963,100.0,104.00000143339778
15,COMP_M,Application-15,Application-15-EndDevice,M_Resp,45,44,9,40,Fog-4,EndDevice-15,Application-15-Service,2.620689655172414e-06,108.01933435759683,108.01933697828649,104.01933409586906,108.01933435759683
47,COMP_M,Application-47,Application-47-EndDevice,M_Resp,141,140,25,72,Fog-12,EndDevice-47,Application-47-Service,3.1159420289855073e-06,108.03985398909846,108.0398571050405,104.03985328524963,108.03985398909846
31,COMP_M,Application-31,Application-31-EndDevice,M_Resp,93,92,17,56,Fog-8,EndDevice-31,Application-31-Service,5.4814814814814815e-06,108.06429741085489,108.06430289233637,104.06429658323187,108.06429741085489
19,COMP_M,Application-19,Application-19-Service,M_Req,56,57,44,17,EndDevice-19,Fog-8,Application-19-EndDevice,0.05555555555555555,112.00000007186489,112.05555562742045,100.0,112.00000007186489
23,COMP_M,Application-23,Application-23-Service,M_Req,68,69,48,25,EndDevice-23,Fog-12,Application-23-EndDevice,0.04577777777777778,112.00000018523963,112.0457779630174,100.0,112.00000018523963
39,COMP_M,Application-39,Application-39-Service,M_Req,116,117,64,9,EndDevice-39,Fog-4,Application-39-EndDevice,0.018962962962962963,112.00000101594424,112.0189639789072,100.0,112.00000101594424
7,COMP_M,Application-7,Application-7-Service,M_Req,20,21,32,17,EndDevice-7,Fog-8,Application-7-EndDevice,0.04488888888888889,114.00000007196793,114.04488896085682,100.0,114.00000007196793
32,COMP_M,Application-32,Application-32-Service,M_Req,95,96,57,19,EndDevice-32,Fog-9,Application-32-EndDevice,0.039703703703703706,114.00000010169009,114.0397038053938,100.0,114.00000010169009
35,COMP_M,Application-35,Application-35-Service,M_Req,104,105,60,25,EndDevice-35,Fog-12,Application-35-EndDevice,0.05688888888888889,114.0000001854297,114.05688907431859,100.0,114.0000001854297
5,COMP_M,Application-5,Application-5-Service,M_Req,14,15,30,13,EndDevice-5,Fog-6,Application-5-EndDevice,0.021037037037037038,114.00000021459124,114.02103725162827,100.0,114.00000021459124
40,COMP_M,Application-40,Application-40-Service,M_Req,119,120,65,11,EndDevice-40,Fog-5,Application-40-EndDevice,0.035925925925925924,114.0000002687703,114.03592619469622,100.0,114.0000002687703
13,COMP_M,Application-13,Application-13-Service,M_Req,38,39,38,5,EndDevice-13,Fog-2,Application-13-EndDevice,0.03088888888888889,114.00000029984714,114.03088918873604,100.0,114.00000029984714
26,COMP_M,Application-26,Application-26-Service,M_Req,77,78,51,7,EndDevice-26,Fog-3,Application-26-EndDevice,0.026518518518518518,114.00000040595555,114.02651892447406,100.0,114.00000040595555
34,COMP_M,Application-34,Application-34-Service,M_Req,101,102,59,23,EndDevice-34,Fog-11,Application-34-EndDevice,0.05140740740740741,114.00000051325662,114.05140792066403,100.0,114.00000051325662
30,COMP_M,Application-30,Application-30-Service,M_Req,89,90,55,15,EndDevice-30,Fog-7,Application-30-EndDevice,0.029925925925925925,114.00000073951222,114.02992666543814,100.0,114.00000073951222
21,COMP_M,Application-21,Application-21-Service,M_Req,62,63,46,21,EndDevice-21,Fog-10,Application-21-EndDevice,0.03392592592592593,114.00000078328043,114.03392670920636,100.0,114.00000078328043
3,COMP_M,Application-3,Application-3-Service,M_Req,8,9,28,9,EndDevice-3,Fog-4,Application-3-EndDevice,0.028814814814814814,114.00000101604881,114.02881583086362,100.0,114.00000101604881
36,COMP_M,Application-36,Application-36-Service,M_Req,107,108,61,3,EndDevice-36,Fog-1,Application-36-EndDevice,0.021407407407407406,114.00000104830511,114.02140845571252,100.0,114.00000104830511
20,COMP_M,Application-20,Application-20-Service,M_Req,59,60,45,19,EndDevice-20,Fog-9,Application-20-EndDevice,0.045925925925925926,116.00000010172033,116.04592602764626,100.0,116.00000010172033
41,COMP_M,Application-41,Application-41-Service,M_Req,122,123,66,13,EndDevice-41,Fog-6,Application-41-EndDevice,0.023703703703703703,116.00000021463845,116.02370391834215,100.0,116.00000021463845
28,COMP_M,Application-28,Application-28-Service,M_Req,83,84,53,11,EndDevice-28,Fog-5,Application-28-EndDevice,0.03437037037037037,116.00000026891102,116.03437063928139,100.0,116.00000026891102
1,COMP_M,Application-1,Application-1-Service,M_Req,2,3,26,5,EndDevice-1,Fog-2,Application-1-EndDevice,0.016962962962962964,116.00000029991736,116.01696326288032,100.0,116.00000029991736
14,COMP_M,Application-14,Application-14-Service,M_Req,41,42,39,7,EndDevice-14,Fog-3,Application-14-EndDevice,0.032074074074074074,116.00000040614586,116.03207448021993,100.0,116.00000040614586
46,COMP_M,Application-46,Application-46-Service,M_Req,137,138,71,23,EndDevice-46,Fog-11,Application-46-EndDevice,0.06903703703703704,116.00000051327407,116.06903755031111,100.0,116.00000051327407
18,COMP_M,Application-18,Application-18-Service,M_Req,53,54,43,15,EndDevice-18,Fog-7,Application-18-EndDevice,0.040296296296296295,116.0000007395922,116.04029703588849,100.0,116.0000007395922
9,COMP_M,Application-9,Application-9-Service,M_Req,26,27,34,21,EndDevice-9,Fog-10,Application-9-EndDevice,0.04474074074074074,116.00000078331922,116.04474152405996,100.0,116.00000078331922
48,COMP_M,Application-48,Application-48-Service,M_Req,143,144,73,3,EndDevice-48,Fog-1,Application-48-EndDevice,0.02548148148148148,116.00000104852384,116.02548253000532,100.0,116.00000104852384
43,COMP_M,Application-43,Application-43-Service,M_Req,128,129,68,17,EndDevice-43,Fog-8,Application-43-EndDevice,0.07274074074074074,118.00000007214227,118.07274081288301,100.0,118.00000007214227
11,COMP_M,Application-11,Application-11-Service,M_Req,32,33,36,25,EndDevice-11,Fog-12,Application-11-EndDevice,0.050074074074074076,118.00000018566334,118.05007425973741,100.0,118.00000018566334
27,COMP_M,Application-27,Application-27-Service,M_Req,80,81,52,9,EndDevice-27,Fog-4,Application-27-EndDevice,0.027703703703703703,118.00000101627234,118.02770471997604,100.0,118.00000101627234
44,COMP_M,Application-44,Application-44-Service,M_Req,131,132,69,19,EndDevice-44,Fog-9,Application-44-EndDevice,0.06666666666666667,120.00000010180604,120.0666667684727,100.0,120.00000010180604
29,COMP_M,Application-29,Application-29-Service,M_Req,86,87,54,13,EndDevice-29,Fog-6,Application-29-EndDevice,0.02962962962962963,120.00000021478438,120.029629844414,100.0,120.00000021478438
16,COMP_M,Application-16,Application-16-Service,M_Req,47,48,41,11,EndDevice-16,Fog-5,Application-16-EndDevice,0.0342962962962963,120.00000026907718,120.03429656537347,100.0,120.00000026907718
25,COMP_M,Application-25,Application-25-Service,M_Req,74,75,50,5,EndDevice-25,Fog-2,Application-25-EndDevice,0.020962962962962964,120.00000030006484,120.02096326302781,100.0,120.00000030006484
38,COMP_M,Application-38,Application-38-Service,M_Req,113,114,63,7,EndDevice-38,Fog-3,Application-38-EndDevice,0.028888888888888888,120.00000040628467,120.02888929517356,100.0,120.00000040628467
22,COMP_M,Application-22,Application-22-Service,M_Req,65,66,47,23,EndDevice-22,Fog-11,Application-22-EndDevice,0.060444444444444446,120.00000051344989,120.06044495789433,100.0,120.00000051344989
6,COMP_M,Application-6,Application-6-Service,M_Req,17,18,31,15,EndDevice-6,Fog-7,Application-6-EndDevice,0.044,120.00000073969206,120.04400073969205,100.0,120.00000073969206
45,COMP_M,Application-45,Application-45-Service,M_Req,134,135,70,21,EndDevice-45,Fog-10,Application-45-EndDevice,0.06651851851851852,120.00000078347614,120.06651930199466,100.0,120.00000078347614
12,COMP_M,Application-12,Application-12-Service,M_Req,35,36,37,3,EndDevice-12,Fog-1,Application-12-EndDevice,0.02185185185185185,120.00000104862661,120.02185290047846,100.0,120.00000104862661
19,COMP_M,Application-19,Application-19-EndDevice,M_Resp,57,56,17,44,Fog-8,EndDevice-19,Application-19-Service,2.5208333333333335e-06,122.0000010188541,122.00000353968744,112.05555562742045,122.0000010188541
23,COMP_M,Application-23,Application-23-EndDevice,M_Resp,69,68,25,48,Fog-12,EndDevice-23,Application-23-Service,4.559322033898305e-06,122.00000200856012,122.00000656788215,112.0457779630174,122.00000200856012
8,COMP_M,Application-8,Application-8-Service,M_Req,23,24,33,19,EndDevice-8,Fog-9,Application-8-EndDevice,0.0522962962962963,124.00000010196474,124.05229639826103,100.0,124.00000010196474
17,COMP_M,Application-17,Application-17-Service,M_Req,50,51,42,13,EndDevice-17,Fog-6,Application-17-EndDevice,0.028592592592592593,124.00000021502117,124.02859280761376,100.0,124.00000021502117
4,COMP_M,Application-4,Application-4-Service,M_Req,11,12,29,11,EndDevice-4,Fog-5,Application-4-EndDevice,0.024962962962962965,124.00000026921677,124.02496323217973,100.0,124.00000026921677
37,COMP_M,Application-37,Application-37-Service,M_Req,110,111,62,5,EndDevice-37,Fog-2,Application-37-EndDevice,0.019851851851851853,124.00000030020527,124.01985215205713,100.0,124.00000030020527
2,COMP_M,Application-2,Application-2-Service,M_Req,5,6,27,7,EndDevice-2,Fog-3,Application-2-EndDevice,0.02185185185185185,124.00000040641227,124.02185225826412,100.0,124.00000040641227
10,COMP_M,Application-10,Application-10-Service,M_Req,29,30,35,23,EndDevice-10,Fog-11,Application-10-EndDevice,0.03185185185185185,124.00000051356773,124.03185236541958,100.0,124.00000051356773
42,COMP_M,Application-42,Application-42-Service,M_Req,125,126,67,15,EndDevice-42,Fog-7,Application-42-EndDevice,0.06844444444444445,124.0000007397536,124.06844518419804,100.0,124.0000007397536
33,COMP_M,Application-33,Application-33-Service,M_Req,98,99,58,21,EndDevice-33,Fog-10,Application-33-EndDevice,0.06414814814814815,124.00000078360691,124.06414893175506,100.0,124.00000078360691
24,COMP_M,Application-24,Application-24-Service,M_Req,71,72,49,3,EndDevice-24,Fog-1,Application-24-EndDevice,0.030518518518518518,124.00000104877954,124.03051956729806,100.0,124.00000104877954
26,COMP_M,Application-26,Application-26-EndDevice,M_Resp,78,77,7,51,Fog-3,EndDevice-26,Application-26-Service,3.5045871559633026e-06,124.00000118219344,124.0000046867806,114.02651892447406,124.00000118219344
13,COMP_M,Application-13,Application-13-EndDevice,M_Resp,39,38,5,38,Fog-2,EndDevice-13,Application-13-Service,5.068965517241379e-06,124.00000146799741,124.00000653696293,114.03088918873604,124.00000146799741
