id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,TOPO.srcLabel,TOPO.dstLabel,module.src,service,time_in,time_out,time_emit,time_reception
28,COMP_M,Application-28,Application-28-Service,M_Req,83,84,53,0,EndDevice-28,Cloud,Application-28-EndDevice,0.002,106.0000000123462,106.0020000123462,100.0,106.0000000123462
4,COMP_M,Application-4,Application-4-Service,M_Req,11,12,29,0,EndDevice-4,Cloud,Application-4-EndDevice,0.002875,108.00000001234702,108.00287501234702,100.0,108.00000001234702
22,COMP_M,Application-22,Application-22-Service,M_Req,65,66,47,0,EndDevice-22,Cloud,Application-22-EndDevice,0.0034416666666666667,110.00000001234783,110.00344167901449,100.0,110.00000001234783
11,COMP_M,Application-11,Application-11-Service,M_Req,32,33,36,0,EndDevice-11,Cloud,Application-11-EndDevice,0.0019,112.00000001234865,112.00190001234866,100.0,112.00000001234865
28,COMP_M,Application-28,Application-28-EndDevice,M_Resp,84,83,0,53,Cloud,EndDevice-28,Application-28-Service,4.051282051282052e-06,112.00200003386283,112.00200408514488,106.0020000123462,112.00200003386283
43,COMP_M,Application-43,Application-43-Service,M_Req,128,129,68,0,EndDevice-43,Cloud,Application-43-EndDevice,0.0027166666666666667,114.00000001234949,114.00271667901616,100.0,114.00000001234949
4,COMP_M,Application-4,Application-4-EndDevice,M_Resp,12,11,0,29,Cloud,EndDevice-4,Application-4-Service,3.4255319148936172e-06,114.00287502772132,114.00287845325323,108.00287501234702,114.00287502772132
16,COMP_M,Application-16,Application-16-Service,M_Req,47,48,41,0,EndDevice-16,Cloud,Application-16-EndDevice,0.0024666666666666665,116.00000001235036,116.00246667901702,100.0,116.00000001235036
22,COMP_M,Application-22,Application-22-EndDevice,M_Resp,66,65,0,47,Cloud,EndDevice-22,Application-22-Service,4.571428571428571e-06,116.00344169582898,116.00344626725756,110.00344167901449,116.00344169582898
18,COMP_M,Application-18,Application-18-Service,M_Req,53,54,43,0,EndDevice-18,Cloud,Application-18-EndDevice,0.003425,118.00000001235122,118.00342501235122,100.0,118.00000001235122
11,COMP_M,Application-11,Application-11-EndDevice,M_Resp,33,32,0,36,Cloud,EndDevice-11,Application-11-Service,4.708333333333334e-06,118.00344169418062,118.00344640251396,112.00190001234866,118.00344169418062
37,COMP_M,Application-37,Application-37-Service,M_Req,110,111,62,0,EndDevice-37,Cloud,Application-37-EndDevice,0.0024,120.00000001235215,120.00240001235214,100.0,120.00000001235215
43,COMP_M,Application-43,Application-43-EndDevice,M_Resp,129,128,0,68,Cloud,EndDevice-43,Application-43-Service,3.269230769230769e-06,120.0034416989453,120.00344496817607,114.00271667901616,120.0034416989453
8,COMP_M,Application-8,Application-8-Service,M_Req,23,24,33,0,EndDevice-8,Cloud,Application-8-EndDevice,0.0041,122.00000001235311,122.0041000123531,100.0,122.00000001235311
16,COMP_M,Application-16,Application-16-EndDevice,M_Resp,48,47,0,41,Cloud,EndDevice-16,Application-16-Service,3.987341772151899e-06,122.00344169692788,122.00344568426965,116.00246667901702,122.00344169692788
31,COMP_M,Application-31,Application-31-Service,M_Req,92,93,56,0,EndDevice-31,Cloud,Application-31-EndDevice,0.0017666666666666666,124.0000000123542,124.00176667902088,100.0,124.0000000123542
18,COMP_M,Application-18,Application-18-EndDevice,M_Resp,54,53,0,43,Cloud,EndDevice-18,Application-18-Service,4.416666666666667e-06,124.0034416917099,124.00344610837656,118.00342501235122,124.0034416917099
48,COMP_M,Application-48,Application-48-Service,M_Req,143,144,73,0,EndDevice-48,Cloud,Application-48-EndDevice,0.003375,126.00000001235533,126.00337501235533,100.0,126.00000001235533
