time,total_nodes,cloud_nodes,proxy_nodes,fog_nodes,end_nodes,other_nodes
0,74,1,1,12,0,60
50,74,1,1,12,0,60
100,74,1,1,12,0,60
150,74,1,1,12,0,60
200,74,1,1,12,0,60
250,74,1,1,12,0,60
300,73,1,1,11,0,60
350,73,1,1,11,0,60
400,73,1,1,11,0,60
450,73,1,1,11,0,60
500,73,1,1,11,0,60
550,73,1,1,11,0,60
600,72,1,1,10,0,60
650,72,1,1,10,0,60
700,72,1,1,10,0,60
750,72,1,1,10,0,60
800,72,1,1,10,0,60
850,72,1,1,10,0,60
900,71,1,1,9,0,60
950,71,1,1,9,0,60
1000,71,1,1,9,0,60
1050,71,1,1,9,0,60
1100,71,1,1,9,0,60
1150,71,1,1,9,0,60
1200,70,1,1,8,0,60
1250,70,1,1,8,0,60
1300,70,1,1,8,0,60
1350,70,1,1,8,0,60
1400,70,1,1,8,0,60
1450,70,1,1,8,0,60
1500,69,1,1,7,0,60
1550,69,1,1,7,0,60
1600,69,1,1,7,0,60
1650,69,1,1,7,0,60
1700,69,1,1,7,0,60
1750,69,1,1,7,0,60
1800,68,1,1,6,0,60
1850,68,1,1,6,0,60
1900,68,1,1,6,0,60
1950,68,1,1,6,0,60
2000,68,1,1,6,0,60
2050,68,1,1,6,0,60
2100,67,1,1,5,0,60
2150,67,1,1,5,0,60
2200,67,1,1,5,0,60
2250,67,1,1,5,0,60
2300,67,1,1,5,0,60
2350,67,1,1,5,0,60
2400,66,1,1,4,0,60
2450,66,1,1,4,0,60
2500,66,1,1,4,0,60
2550,66,1,1,4,0,60
2600,66,1,1,4,0,60
2650,66,1,1,4,0,60
2700,65,1,1,3,0,60
2750,65,1,1,3,0,60
2800,65,1,1,3,0,60
2850,65,1,1,3,0,60
2900,65,1,1,3,0,60
2950,65,1,1,3,0,60
3000,65,1,1,3,0,60
3050,65,1,1,3,0,60
3100,65,1,1,3,0,60
3150,65,1,1,3,0,60
3200,65,1,1,3,0,60
3250,65,1,1,3,0,60
3300,65,1,1,3,0,60
3350,65,1,1,3,0,60
3400,65,1,1,3,0,60
3450,65,1,1,3,0,60
3500,65,1,1,3,0,60
3550,65,1,1,3,0,60
3600,65,1,1,3,0,60
3650,65,1,1,3,0,60
3700,65,1,1,3,0,60
3750,65,1,1,3,0,60
3800,65,1,1,3,0,60
3850,65,1,1,3,0,60
3900,65,1,1,3,0,60
3950,65,1,1,3,0,60
4000,65,1,1,3,0,60
4050,65,1,1,3,0,60
4100,65,1,1,3,0,60
4150,65,1,1,3,0,60
4200,65,1,1,3,0,60
4250,65,1,1,3,0,60
4300,65,1,1,3,0,60
4350,65,1,1,3,0,60
4400,65,1,1,3,0,60
4450,65,1,1,3,0,60
4500,65,1,1,3,0,60
4550,65,1,1,3,0,60
4600,65,1,1,3,0,60
4650,65,1,1,3,0,60
4700,65,1,1,3,0,60
4750,65,1,1,3,0,60
4800,65,1,1,3,0,60
4850,65,1,1,3,0,60
4900,65,1,1,3,0,60
4950,65,1,1,3,0,60
5000,65,1,1,3,0,60
5050,65,1,1,3,0,60
5100,65,1,1,3,0,60
5150,65,1,1,3,0,60
5200,65,1,1,3,0,60
5250,65,1,1,3,0,60
5300,65,1,1,3,0,60
5350,65,1,1,3,0,60
5400,65,1,1,3,0,60
5450,65,1,1,3,0,60
5500,65,1,1,3,0,60
5550,65,1,1,3,0,60
5600,65,1,1,3,0,60
5650,65,1,1,3,0,60
5700,65,1,1,3,0,60
5750,65,1,1,3,0,60
5800,65,1,1,3,0,60
5850,65,1,1,3,0,60
5900,65,1,1,3,0,60
5950,65,1,1,3,0,60
6000,65,1,1,3,0,60
6050,65,1,1,3,0,60
6100,65,1,1,3,0,60
6150,65,1,1,3,0,60
6200,65,1,1,3,0,60
6250,65,1,1,3,0,60
6300,65,1,1,3,0,60
6350,65,1,1,3,0,60
6400,65,1,1,3,0,60
6450,65,1,1,3,0,60
6500,65,1,1,3,0,60
6550,65,1,1,3,0,60
6600,65,1,1,3,0,60
6650,65,1,1,3,0,60
6700,65,1,1,3,0,60
6750,65,1,1,3,0,60
6800,65,1,1,3,0,60
6850,65,1,1,3,0,60
6900,65,1,1,3,0,60
6950,65,1,1,3,0,60
7000,65,1,1,3,0,60
7050,65,1,1,3,0,60
7100,65,1,1,3,0,60
7150,65,1,1,3,0,60
7200,65,1,1,3,0,60
7250,65,1,1,3,0,60
7300,65,1,1,3,0,60
7350,65,1,1,3,0,60
7400,65,1,1,3,0,60
7450,65,1,1,3,0,60
7500,65,1,1,3,0,60
7550,65,1,1,3,0,60
7600,65,1,1,3,0,60
7650,65,1,1,3,0,60
7700,65,1,1,3,0,60
7750,65,1,1,3,0,60
7800,65,1,1,3,0,60
7850,65,1,1,3,0,60
7900,65,1,1,3,0,60
7950,65,1,1,3,0,60
8000,65,1,1,3,0,60
8050,65,1,1,3,0,60
8100,65,1,1,3,0,60
8150,65,1,1,3,0,60
8200,65,1,1,3,0,60
8250,65,1,1,3,0,60
8300,65,1,1,3,0,60
8350,65,1,1,3,0,60
8400,65,1,1,3,0,60
8450,65,1,1,3,0,60
8500,65,1,1,3,0,60
8550,65,1,1,3,0,60
8600,65,1,1,3,0,60
8650,65,1,1,3,0,60
8700,65,1,1,3,0,60
8750,65,1,1,3,0,60
8800,65,1,1,3,0,60
8850,65,1,1,3,0,60
8900,65,1,1,3,0,60
8950,65,1,1,3,0,60
9000,65,1,1,3,0,60
9050,65,1,1,3,0,60
9100,65,1,1,3,0,60
9150,65,1,1,3,0,60
9200,65,1,1,3,0,60
9250,65,1,1,3,0,60
9300,65,1,1,3,0,60
9350,65,1,1,3,0,60
9400,65,1,1,3,0,60
9450,65,1,1,3,0,60
9500,65,1,1,3,0,60
9550,65,1,1,3,0,60
9600,65,1,1,3,0,60
9650,65,1,1,3,0,60
9700,65,1,1,3,0,60
9750,65,1,1,3,0,60
9800,65,1,1,3,0,60
9850,65,1,1,3,0,60
9900,65,1,1,3,0,60
9950,65,1,1,3,0,60
10000,65,1,1,3,0,60
10050,65,1,1,3,0,60
10100,65,1,1,3,0,60
10150,65,1,1,3,0,60
10200,65,1,1,3,0,60
10250,65,1,1,3,0,60
10300,65,1,1,3,0,60
10350,65,1,1,3,0,60
10400,65,1,1,3,0,60
10450,65,1,1,3,0,60
10500,65,1,1,3,0,60
10550,65,1,1,3,0,60
10600,65,1,1,3,0,60
10650,65,1,1,3,0,60
10700,65,1,1,3,0,60
10750,65,1,1,3,0,60
10800,65,1,1,3,0,60
10850,65,1,1,3,0,60
10900,65,1,1,3,0,60
10950,65,1,1,3,0,60
11000,65,1,1,3,0,60
11050,65,1,1,3,0,60
11100,65,1,1,3,0,60
11150,65,1,1,3,0,60
11200,65,1,1,3,0,60
11250,65,1,1,3,0,60
11300,65,1,1,3,0,60
11350,65,1,1,3,0,60
11400,65,1,1,3,0,60
11450,65,1,1,3,0,60
11500,65,1,1,3,0,60
11550,65,1,1,3,0,60
11600,65,1,1,3,0,60
11650,65,1,1,3,0,60
11700,65,1,1,3,0,60
11750,65,1,1,3,0,60
11800,65,1,1,3,0,60
11850,65,1,1,3,0,60
11900,65,1,1,3,0,60
11950,65,1,1,3,0,60
12000,65,1,1,3,0,60
12050,65,1,1,3,0,60
