id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,100,20009999,0
2,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,100,20009999,1
3,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,100,20,2
5,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,100,20,3
6,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,100,20,4
7,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,100,20,5
8,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,200,20009999,0
9,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,200,20009999,1
10,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,200,20,2
12,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,200,20,3
13,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,200,20,4
14,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,200,20,5
15,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,300,20009999,0
16,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,300,20009999,1
17,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,300,20,2
19,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,300,20,3
20,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,300,20,4
21,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,300,20,5
22,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,400,20009999,0
23,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,400,20009999,1
24,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,400,20,2
26,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,400,20,3
27,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,400,20,4
28,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,400,20,5
29,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,500,20009999,0
30,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,500,20009999,1
31,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,500,20,2
33,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,500,20,3
34,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,500,20,4
35,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,500,20,5
36,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,600,20009999,0
37,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,600,20009999,1
38,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,600,20,2
40,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,600,20,3
41,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,600,20,4
42,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,600,20,5
43,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,700,20009999,0
44,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,700,20009999,1
45,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,700,20,2
47,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,700,20,3
48,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,700,20,4
49,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,700,20,5
50,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,800,20009999,0
51,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,800,20009999,1
52,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,800,20,2
54,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,800,20,3
55,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,800,20,4
56,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,800,20,5
57,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,900,20009999,0
58,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,900,20009999,1
59,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,900,20,2
61,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,900,20,3
62,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,900,20,4
63,LINK,16,0,amazingapp5,1.00002,M.USER.APP.4,900,20,5
64,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0,1000,20009999,0
65,LINK,1,0,amazingapp1,21.009999,M.USER.APP.0_02,1000,20009999,1
66,LINK,2,0,amazingappnumber2,1.00002,M.USER.APP.1,1000,20,2
68,LINK,4,0,amazingapp4,1.00002,M.USER.APP.3,1000,20,3
69,LINK,16,0,amazingappnumber3,1.00002,M.USER.APP.2,1000,20,4
